epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,1306485375.0,721974.0,120696.0,2374764,1453,101,9.238220519690088e-05,0.03861246080931654,0.020550270967521413,0.010997438454422621,0.7773731396417504,0.21036788098374237,0,0.17316747648558992,101,0.03861246080931654,219522697.0,16790.0,124,0.008550454706280335,35153792.0,389.0,47,0.009332213955980214,105166363.0,11541.0,70,0.027399854371969658,217291444.0,24382.0,125,0.00786022214712744,107968738.0,10305.0,63,0.0293585220690028,219361605.0,27046.0,121,0.015181509203284276,196403460.0,17594.0,110,0.02810693047721006,205617276.0,12649.0,121
1,1286422365.0,529851.0,295807.0,2358207,1270,250,0.00022994547362366482,0.04960561567243823,0.02454231273554896,0.01836843349623018,0.6409592681471544,0.21099345946539105,0,0.17000732503883,250,0.04960561567243823,213132651.0,40025.0,127,0.003888591438892592,35238518.0,5638.0,82,0.004684216637831624,102680838.0,29408.0,88,0.042193608006616236,215498963.0,65767.0,124,0.004994143448822318,104955258.0,13120.0,83,0.045513806046181125,217024064.0,44989.0,122,0.015312102583616535,193800029.0,49053.0,126,0.030146418049992987,204092044.0,47807.0,127
2,1297378776.0,542467.0,295296.0,2372824,1281,247,0.0002276097046310861,0.06836955610470014,0.032300346647649796,0.025614913010468636,0.6139167844242203,0.21247734593740564,0,0.1823335163201934,247,0.06836955610470014,220633194.0,47585.0,126,0.004108159717599574,35444075.0,3929.0,76,0.003911227829819472,105184360.0,21591.0,91,0.05947386244039425,218146547.0,43133.0,126,0.005237709767113237,105282605.0,33603.0,79,0.057554205610111896,216328891.0,36128.0,125,0.019221723918359555,192661969.0,50064.0,122,0.04052632779310023,203697135.0,59263.0,121
3,1291168311.0,546759.0,293015.0,2362609,1271,245,0.0002269378806029263,0.08228829884623452,0.03964046560248043,0.0314764764983822,0.6133035343159308,0.21098172566210072,0,0.18366636151696822,245,0.08228829884623452,215923793.0,47747.0,125,0.004027838183205777,35252858.0,5130.0,72,0.0070911001084874225,104685176.0,22754.0,93,0.07357105658504608,215270052.0,36479.0,126,0.003026360937598414,101992856.0,19720.0,80,0.07054149321525989,216443253.0,56854.0,124,0.025459422911308108,196019527.0,46114.0,123,0.05111815403270328,205580796.0,58217.0,125
4,1300986832.0,559459.0,262346.0,2368808,1255,215,0.00020165154138931363,0.09523554392406428,0.0459970202349915,0.037752899399942724,0.5974926600577828,0.21250042598432706,0,0.19372674062469658,215,0.09523554392406428,219683893.0,52002.0,126,0.0030981429604282833,35296390.0,1551.0,72,0.004671198984921901,104548692.0,27221.0,117,0.08890463647342566,214952755.0,37091.0,127,0.006171599868214358,102975368.0,14022.0,65,0.08261152717085975,217498774.0,40018.0,127,0.025602387875530302,194445326.0,44375.0,127,0.06168112462248751,211585634.0,46066.0,124
5,1294187898.0,545302.0,289164.0,2362358,1293,241,0.00022343278008306642,0.1071667139810753,0.05368862751946886,0.044497341573894095,0.5927978010761047,0.21258440229210063,0,0.19977681114747747,241,0.1071667139810753,219533815.0,38039.0,125,0.004626788117170029,34813026.0,5972.0,81,0.004576002368565954,104082678.0,37776.0,95,0.1021966922622275,218431905.0,42412.0,125,0.004331190236120373,105300049.0,17510.0,87,0.10230666307328477,213999507.0,46822.0,123,0.029753091293352373,193961832.0,44386.0,128,0.07455187882395459,204065086.0,56247.0,126
6,1286833754.0,557738.0,273801.0,2353960,1266,226,0.00021277107407923962,0.12626537776639082,0.060950562843379935,0.052037015804849894,0.5784016791533887,0.21185596849832078,0,0.20575476913320512,226,0.12626537776639082,217266299.0,40630.0,125,0.0031195824787227083,34346447.0,2982.0,78,0.00331510970642487,102667876.0,18984.0,84,0.11702591867556465,214430718.0,56347.0,125,0.004839507922606606,105224087.0,21714.0,85,0.1182033983275477,214698547.0,58824.0,125,0.03359794503196583,192712351.0,39256.0,124,0.0812376628378163,205487429.0,35064.0,124
7,1291587101.0,550741.0,272616.0,2363082,1260,233,0.00021107055016957775,0.1528584034760211,0.06859679684503489,0.05821923033676963,0.581287328538482,0.21215579821356556,0,0.216508001304747,233,0.1528584034760211,217224309.0,53884.0,123,0.006055936964923083,34606298.0,3466.0,74,0.0075124633946517,103990546.0,28996.0,78,0.1275915216184989,217865540.0,44134.0,124,0.004523572590040003,103842691.0,26800.0,71,0.12440995368590861,213763208.0,39994.0,126,0.03455952232381617,193596870.0,33634.0,124,0.0912630007064196,206697639.0,41708.0,126
8,1300314733.0,541236.0,281454.0,2370150,1287,231,0.00021645067371546886,0.1636534908815754,0.07584904291627192,0.06509781704082894,0.5758373223583831,0.21632969944592628,0,0.22984568256587984,231,0.1636534908815754,222020017.0,35200.0,128,0.004611805816297499,35308564.0,4999.0,91,0.0033274145594724244,102268737.0,21427.0,94,0.1441553942920904,218380090.0,49103.0,125,0.004745295811217214,103039715.0,21973.0,76,0.1405273145011252,217352779.0,42439.0,127,0.041775414379906055,191023698.0,47765.0,124,0.10399621308849115,210921133.0,58548.0,126
9,1294672561.0,535859.0,279388.0,2362152,1244,227,0.0002157981936252683,0.17944349003968252,0.08253120019707366,0.0713661412620351,0.5721688959228369,0.21301642935259513,0,0.23561831731696076,227,0.17944349003968252,218797168.0,42791.0,128,0.005533887970391205,35132154.0,1146.0,86,0.00580747300425986,105794203.0,30344.0,77,0.15918255223523647,217531692.0,43733.0,126,0.004931536296887577,101386769.0,29682.0,72,0.158206160105722,214005461.0,43097.0,126,0.04396196630153372,193373196.0,44209.0,123,0.10318253562287602,208651918.0,44386.0,121
