epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,1010484.0,1010484.0,0.0,4340,4340,0,0.0,0.224853515625,0.074066162109375,0.06299406956535691,0.5802589199497115,0.2879004021835079,0,0.0,0,0.0283203125,50742.0,0.0,249,0.093017578125,96675.0,0.0,243,0.07080078125,153819.0,0.0,245,0.055908203125,191577.0,0.0,253,0.224853515625,238315.0,0.0,246,0.072998046875,106037.0,0.0,250,0.000244140625,35468.0,0.0,178,0.04638671875,137851.0,0.0,249
1,667243.0,667243.0,0.0,3013,3013,0,0.0,0.26796875,0.079046630859375,0.07790630032667423,0.5072650458468108,0.26153309214184306,0,0.0,0,0.016259765625,40368.0,0.0,246,0.0775390625,49558.0,0.0,250,0.090087890625,104764.0,0.0,251,0.021826171874999998,83423.0,0.0,253,0.26796875,172830.0,0.0,249,0.10092773437500001,85252.0,0.0,251,0.026513671875,38204.0,0.0,165,0.031249999999999997,92844.0,0.0,248
2,578259.0,578259.0,0.0,3109,3109,0,0.0,0.297509765625,0.103460693359375,0.09564136439123151,0.5392124886934313,0.19517400507385063,0,0.0,0,0.047998046875,56243.0,0.0,252,0.19775390625,85114.0,0.0,251,0.051416015625,60946.0,0.0,248,0.0158203125,67873.0,0.0,250,0.297509765625,112197.0,0.0,248,0.145947265625,83166.0,0.0,248,0.002783203125,21056.0,0.0,194,0.06845703125,91664.0,0.0,250
3,486844.0,486844.0,0.0,2273,2273,0,0.0,0.31909179687499994,0.098321533203125,0.10247864878081518,0.47930612104482606,0.20488904043184242,0,0.0,0,0.036767578125,44438.0,0.0,252,0.171826171875,31616.0,0.0,247,0.038671875,87953.0,0.0,249,0.000146484375,47330.0,0.0,215,0.31909179687499994,99631.0,0.0,251,0.157373046875,77387.0,0.0,250,0.01669921875,44752.0,0.0,250,0.04599609375,53737.0,0.0,251
4,536395.0,480855.0,55540.0,2342,2098,244,0.10354309790359696,0.5370469588324887,0.1332197370415611,0.17108233757126412,0.3774725088486302,0.2567928019463266,0,0.0,0,0.02900390625,39935.0,0.0,250,0.24042968750000002,86283.0,0.0,252,0.03076171875,100122.0,0.0,250,0.000146484375,37631.0,0.0,92,0.5370469588324887,118074.0,55540.0,254,0.146337890625,63518.0,0.0,254,0.000146484375,25424.0,0.0,169,0.081884765625,65408.0,0.0,248
5,520689.0,457824.0,62865.0,2413,2107,306,0.1207342578775428,0.5665321352838874,0.14731525469853554,0.1943455447985338,0.36490836350659794,0.29788919105262424,1,0.0,0,0.014208984374999999,33399.0,0.0,254,0.36242935542939697,107699.0,416.0,250,0.04003906249999999,100829.0,0.0,249,0.0,26412.0,0.0,38,0.5665321352838874,116894.0,62449.0,251,0.137548828125,63711.0,0.0,255,0.00576171875,31316.0,0.0,139,0.052001953125,40429.0,0.0,249
6,503347.0,454226.0,49121.0,2552,2227,325,0.09758874096796027,0.45429954863612454,0.15345843506742987,0.17517318879462235,0.43421096415256694,0.13234980043588185,0,0.0,0,0.047412109375,55175.0,0.0,245,0.45429954863612454,53437.0,17336.0,255,0.01611328125,64110.0,0.0,251,0.0029296875,60464.0,0.0,215,0.44182496315331443,112173.0,31785.0,251,0.151953125,57621.0,0.0,248,0.044775390625,53112.0,0.0,252,0.068359375,47255.0,0.0,255
7,508175.0,402244.0,105931.0,3020,2182,838,0.20845378068578696,0.6369391459378195,0.18830691234692754,0.22674452613097032,0.40817822998116393,0.1515725389875533,1,0.0,0,0.068798828125,50697.0,0.0,249,0.49842240283760075,58967.0,22894.0,251,0.00029296875,54561.0,0.0,205,0.001025390625,54092.0,0.0,137,0.6369391459378195,123169.0,83037.0,248,0.162060546875,64380.0,0.0,251,0.059033203125,47096.0,0.0,246,0.0798828125,55213.0,0.0,251
8,559430.0,552861.0,6569.0,2589,2518,71,0.011742309136084922,0.3547012013814075,0.14577433982066304,0.12840869074470673,0.5630829192738364,0.19583057755215094,0,0.0,0,0.105224609375,59664.0,0.0,247,0.3547012013814075,35281.0,4480.0,246,0.025683593749999997,87276.0,0.0,238,0.003466796875,74279.0,0.0,195,0.31105406405889685,66353.0,2089.0,252,0.243603515625,105454.0,0.0,245,0.041748046875,36116.0,0.0,252,0.08071289062499999,95007.0,0.0,251
9,555545.0,509548.0,45997.0,2969,2559,410,0.08279617312728926,0.5314394246777563,0.17806322886596954,0.17161812933073722,0.5184250906907254,0.19856109766085517,0,0.0,0,0.1087890625,53970.0,0.0,251,0.297314453125,25196.0,0.0,247,0.008349609374999999,72868.0,0.0,249,0.003466796875,72194.0,0.0,172,0.5314394246777563,95503.0,45997.0,246,0.2970703125,98286.0,0.0,253,0.05419921875,44752.0,0.0,248,0.123876953125,92776.0,0.0,244
10,423270.0,406424.0,16846.0,2291,2132,159,0.03979965506650592,0.4089022491979792,0.17180725391331164,0.15686647320579594,0.5453648409673113,0.20238323056205232,0,0.0,0,0.1642578125,52356.0,0.0,249,0.3699014852335142,29120.0,3872.0,246,0.003955078125,49259.0,0.0,247,0.0,45554.0,0.0,112,0.4089022491979792,63044.0,12974.0,249,0.30263671875,71872.0,0.0,249,0.0263671875,26320.0,0.0,251,0.0984375,85745.0,0.0,251
11,522066.0,429290.0,92776.0,3011,2212,799,0.17770933177031223,0.6148683931713457,0.2311831315885217,0.22521255444678373,0.5130797806906381,0.24899485888757322,16,0.0,0,0.19492187500000002,45184.0,0.0,253,0.3867562442012445,23712.0,4288.0,248,0.040087890625,116758.0,0.0,251,0.000244140625,71476.0,0.0,168,0.6148683931713457,87380.0,55052.0,252,0.5085826028355832,81544.0,33436.0,255,0.02021484375,33208.0,0.0,250,0.0837890625,62804.0,0.0,250
12,574762.0,501873.0,72889.0,3004,2371,633,0.12681596904457823,0.5322058495158146,0.23971704402206007,0.2126802538920451,0.5595506817482353,0.2528585745056211,0,0.0,0,0.19936523437499998,32192.0,0.0,250,0.5207119780770524,45888.0,20032.0,251,0.07275390625,117988.0,0.0,252,0.027490234375,123713.0,0.0,209,0.5322058495158146,62838.0,30140.0,252,0.46267008708361357,70803.0,22717.0,251,0.01904296875,37780.0,0.0,251,0.08349609375,83560.0,0.0,252
13,480275.0,445214.0,35061.0,2200,2012,188,0.07300192597990719,0.4883799266999539,0.1873468813238537,0.1568429805014661,0.5879345401733806,0.34987429077091203,0,0.0,0,0.178564453125,16224.0,0.0,249,0.2933763480006289,12704.0,256.0,254,0.052734375,75263.0,0.0,247,0.054394531249999996,138611.0,0.0,255,0.3292258071402468,62946.0,3040.0,251,0.4883799266999539,84311.0,31765.0,249,0.021240234374999997,38008.0,0.0,248,0.080859375,52208.0,0.0,251
14,547410.0,473765.0,73645.0,2825,2357,468,0.13453353062603873,0.5361603638233908,0.23669396774309653,0.19917637176427902,0.5854420952158332,0.27479631354925904,0,0.0,0,0.1919921875,28800.0,0.0,247,0.492589469015116,73552.0,26693.0,253,0.0427734375,50024.0,0.0,248,0.070751953125,171620.0,0.0,253,0.42730190910626525,47352.0,12056.0,251,0.5361603638233908,73882.0,34896.0,251,0.05087890625,51308.0,0.0,247,0.081103515625,50872.0,0.0,251
15,418671.0,374971.0,43700.0,1936,1638,298,0.10437790054720747,0.5418546507157602,0.21351431253313008,0.18665001881797008,0.5668319516974636,0.3286205039279049,0,0.0,0,0.2212890625,36320.0,0.0,249,0.3900014408299086,11712.0,2592.0,250,0.022705078125,40959.0,0.0,251,0.0623046875,133980.0,0.0,254,0.3728404399693719,36244.0,6172.0,252,0.5418546507157602,71532.0,34936.0,253,0.031054687499999997,34068.0,0.0,250,0.06606445312499999,53856.0,0.0,252
16,450755.0,443815.0,6940.0,2333,2276,57,0.015396390500382658,0.355315114050034,0.17386385214687927,0.12355744162910282,0.6644375339887275,0.15458924471165014,0,0.0,0,0.23476562499999998,49858.0,0.0,249,0.27333984375,25448.0,0.0,246,0.02587890625,67403.0,0.0,251,0.043798828125,84499.0,0.0,249,0.30625,47412.0,0.0,252,0.355315114050034,64555.0,6940.0,247,0.07890625,55764.0,0.0,249,0.07265625,55816.0,0.0,249
17,556727.0,450919.0,105808.0,3367,2385,982,0.1900536528675631,0.5624467351885236,0.26655540520802534,0.22485827854554796,0.5842448325034105,0.2209662455745811,1,0.0,0,0.27265625,42528.0,0.0,252,0.5464387511174709,82776.0,37856.0,252,0.03486328125,60991.0,0.0,252,0.060644531249999994,123913.0,0.0,254,0.5181866616082084,46704.0,22036.0,249,0.5624467351885236,87428.0,45916.0,248,0.0486328125,33420.0,0.0,250,0.08857421874999999,78967.0,0.0,249
18,496482.0,429310.0,67172.0,2907,2267,640,0.1352959422496684,0.6144148669010498,0.24254772258691504,0.19984402204909754,0.5956380099525013,0.21044418528768394,1,0.0,0,0.277294921875,29536.0,0.0,249,0.6144148669010498,63712.0,40064.0,251,0.07080078125,84764.0,0.0,252,0.07172851562499999,103514.0,0.0,252,0.278466796875,50876.0,0.0,250,0.48612316379427045,68156.0,27108.0,254,0.0416015625,31644.0,0.0,252,0.099951171875,64280.0,0.0,254
19,489125.0,408741.0,80384.0,2893,2208,685,0.16434244824942465,0.5747465720539682,0.2429404859640102,0.20294184366478787,0.5889905885465299,0.22233299258880623,1,0.0,0,0.289599609375,30624.0,0.0,249,0.5352812219081133,42272.0,19904.0,250,0.06552734375,68945.0,0.0,249,0.055078125,77448.0,0.0,245,0.5747465720539682,116133.0,60480.0,250,0.288232421875,56928.0,0.0,246,0.041162109375,39280.0,0.0,246,0.09389648437499999,57495.0,0.0,251
20,492508.0,406579.0,85929.0,2998,2370,628,0.17447229283585206,0.5947524320175552,0.26098520502635103,0.21159020047686583,0.6033934319857365,0.16326892152005623,3,0.0,0,0.31059570312499996,34048.0,0.0,252,0.5947524320175552,70418.0,41498.0,249,0.053466796875,46688.0,0.0,247,0.06435546874999999,93015.0,0.0,253,0.5786760831932527,79718.0,44431.0,250,0.307861328125,59340.0,0.0,249,0.07583007812499999,48956.0,0.0,249,0.10234375,60325.0,0.0,252
21,565919.0,485739.0,80180.0,2957,2272,685,0.1416810532956127,0.5714192282537551,0.27798522677264004,0.19921247741627746,0.660694793070584,0.19147947851194225,1,0.0,0,0.44784694690608984,32160.0,9632.0,252,0.5714192282537551,48928.0,26560.0,250,0.0693359375,86283.0,0.0,252,0.056689453125,113127.0,0.0,250,0.37859051228680485,64378.0,10119.0,247,0.4816891892344709,93256.0,33869.0,252,0.08271484375,60943.0,0.0,248,0.135595703125,66844.0,0.0,250
22,442913.0,391479.0,51434.0,2581,2217,364,0.1161266433814313,0.47150770406213965,0.26030123823178974,0.16042847442926447,0.7247172315705935,0.2631185469832673,0,0.0,0,0.4066948376801335,25536.0,5696.0,249,0.37426389298348367,13568.0,2528.0,251,0.074462890625,43401.0,0.0,252,0.067431640625,98456.0,0.0,248,0.41588097112856126,67077.0,16273.0,250,0.47150770406213965,78530.0,26937.0,249,0.130078125,59220.0,0.0,251,0.14208984374999997,57125.0,0.0,247
23,530683.0,470737.0,59946.0,3287,2853,434,0.11296009105247366,0.47915486165957044,0.28240834155229916,0.15562512071336643,0.7670642676490942,0.26297078481880876,0,0.0,0,0.46487679158834166,38304.0,12384.0,251,0.2794921875,22720.0,0.0,252,0.0876953125,55138.0,0.0,248,0.0892578125,139392.0,0.0,249,0.46162179792048114,54849.0,17360.0,248,0.47915486165957044,82934.0,30202.0,252,0.21181640624999998,79459.0,0.0,248,0.1853515625,57887.0,0.0,249
