epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,1010484.0,1010484.0,0.0,4340,4340,0,0.0,0.224853515625,0.074066162109375,0.06299406956535691,0.5802589199497115,0.2879004021835079,0,0.141324609375,0,0.0283203125,50742.0,0.0,249,0.093017578125,96675.0,0.0,243,0.07080078125,153819.0,0.0,245,0.055908203125,191577.0,0.0,253,0.224853515625,238315.0,0.0,246,0.072998046875,106037.0,0.0,250,0.000244140625,35468.0,0.0,178,0.04638671875,137851.0,0.0,249
1,667243.0,667243.0,0.0,3013,3013,0,0.0,0.26796875,0.079046630859375,0.07790630032667423,0.5072650458468108,0.26153309214184306,0,0.09580475068129571,0,0.016259765625,40368.0,0.0,246,0.0775390625,49558.0,0.0,250,0.090087890625,104764.0,0.0,251,0.021826171874999998,83423.0,0.0,253,0.26796875,172830.0,0.0,249,0.10092773437500001,85252.0,0.0,251,0.026513671875,38204.0,0.0,165,0.031249999999999997,92844.0,0.0,248
2,578259.0,578259.0,0.0,3109,3109,0,0.0,0.297509765625,0.103460693359375,0.09564136439123151,0.5392124886934313,0.19517400507385063,0,0.08019869172220513,0,0.047998046875,56243.0,0.0,252,0.19775390625,85114.0,0.0,251,0.051416015625,60946.0,0.0,248,0.0158203125,67873.0,0.0,250,0.297509765625,112197.0,0.0,248,0.145947265625,83166.0,0.0,248,0.002783203125,21056.0,0.0,194,0.06845703125,91664.0,0.0,250
3,486844.0,486844.0,0.0,2273,2273,0,0.0,0.31909179687499994,0.098321533203125,0.10247864878081518,0.47930612104482606,0.20488904043184242,0,0.07389601819092743,0,0.036767578125,44438.0,0.0,252,0.171826171875,31616.0,0.0,247,0.038671875,87953.0,0.0,249,0.000146484375,47330.0,0.0,215,0.31909179687499994,99631.0,0.0,251,0.157373046875,77387.0,0.0,250,0.01669921875,44752.0,0.0,250,0.04599609375,53737.0,0.0,251
4,536395.0,480855.0,55540.0,2342,2098,244,0.10354309790359696,0.5370469588324887,0.1332197370415611,0.17108233757126412,0.3774725088486302,0.2567928019463266,0,0.16515236600926103,0,0.02900390625,39935.0,0.0,250,0.24042968750000002,86283.0,0.0,252,0.03076171875,100122.0,0.0,250,0.000146484375,37631.0,0.0,92,0.5370469588324887,118074.0,55540.0,254,0.146337890625,63518.0,0.0,254,0.000146484375,25424.0,0.0,169,0.081884765625,65408.0,0.0,248
5,520689.0,457824.0,62865.0,2413,2107,306,0.1207342578775428,0.5665321352838874,0.14731525469853554,0.1943455447985338,0.36490836350659794,0.29788919105262424,0,0.21440688438023364,0,0.014208984374999999,33399.0,0.0,254,0.36242935542939697,107699.0,416.0,250,0.04003906249999999,100829.0,0.0,249,0.0,26412.0,0.0,38,0.5665321352838874,116894.0,62449.0,251,0.137548828125,63711.0,0.0,255,0.00576171875,31316.0,0.0,139,0.052001953125,40429.0,0.0,249
6,503347.0,449978.0,53369.0,2552,2214,338,0.10602824691514978,0.45429954863612454,0.1530682741783176,0.17537408268590585,0.4323978794849609,0.16809452524798973,0,0.24352417221194242,0,0.047412109375,55175.0,0.0,245,0.45429954863612454,53437.0,17336.0,255,0.01611328125,64110.0,0.0,251,0.000244140625,45080.0,0.0,213,0.44138922291541616,127557.0,36033.0,251,0.151953125,57621.0,0.0,248,0.044775390625,53112.0,0.0,252,0.068359375,47255.0,0.0,255
7,508175.0,394008.0,114167.0,3020,2170,850,0.22466079598563443,0.6295374599992075,0.18703990472960103,0.22515020951916406,0.40832614818861984,0.19899763860874664,1,0.2988941856864946,0,0.06904296875,50697.0,0.0,248,0.49842240283760075,58967.0,22894.0,251,0.00029296875,54561.0,0.0,205,0.0,38836.0,0.0,121,0.6295374599992075,138425.0,91273.0,248,0.162060546875,64380.0,0.0,251,0.057080078125,47096.0,0.0,254,0.0798828125,55213.0,0.0,251
8,559430.0,522240.0,37190.0,2589,2432,157,0.06647837977941821,0.4778808146552351,0.16521166802020532,0.163872376233123,0.5040696885199862,0.20260354289187177,0,0.22960667559323603,0,0.105615234375,59664.0,0.0,246,0.3547012013814075,35281.0,4480.0,246,0.01640625,78540.0,0.0,173,0.001708984375,57651.0,0.0,186,0.4778808146552351,91717.0,32710.0,252,0.243603515625,105454.0,0.0,245,0.040576171875,36116.0,0.0,252,0.08120117187499999,95007.0,0.0,249
9,555545.0,485143.0,70402.0,2969,2447,522,0.12672600779414786,0.5914198838135875,0.18427904797669842,0.18860383976974956,0.48840330225614514,0.23359741335085338,0,0.3045871482908564,0,0.10932617187499999,53970.0,0.0,250,0.297314453125,25196.0,0.0,247,0.000146484375,66500.0,0.0,193,0.0037109375,56810.0,0.0,152,0.5914198838135875,117255.0,70402.0,246,0.2970703125,98286.0,0.0,253,0.052294921875,44752.0,0.0,251,0.12294921874999999,92776.0,0.0,249
