epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,500416.0,500416.0,0.0,972,972,0,0.0,0.037841796875,0.01824951171875,0.011804742021516811,0.7050107015564538,0.2034587223430102,0,0,0.0,0,0,0,0,5312,1510900.0,129423.0,0.034912109375,83975.0,0.0,46,0.01171875,42161.0,0.0,47,0.006103515625,50402.0,0.0,44,0.037841796875,89524.0,0.0,45,0.0185546875,89493.0,0.0,48,0.004638671875,27802.0,0.0,48,0.01025390625,43196.0,0.0,48,0.02197265625,73863.0,0.0,48
1,355495.0,355495.0,0.0,653,653,0,0.0,0.070263671875,0.02086181640625,0.022096544054002607,0.47129258306011684,0.4201145585732564,0,0,0.0,0,0,0,0,3666,1022738.0,10226.0,0.070263671875,115791.0,0.0,47,0.016552734375,42331.0,0.0,49,0.008056640625,46481.0,0.0,50,0.03955078125,50767.0,0.0,50,0.01943359375,66022.0,0.0,46,0.0,0.0,0.0,19,0.0,0.0,0.0,42,0.013037109375,34103.0,0.0,50
2,244866.0,244866.0,0.0,402,402,0,0.0,0.06103515624999999,0.02000732421875,0.018758720118606305,0.5321886150202394,0.32871448057304753,0,0,0.0,0,0,0,0,3511,823125.0,9404.0,0.06103515624999999,39449.0,0.0,50,0.022021484375,37298.0,0.0,48,0.01142578125,48205.0,0.0,49,0.034521484375,26419.0,0.0,49,0.01435546875,49881.0,0.0,47,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.01669921875,43614.0,0.0,47
3,255597.0,255597.0,0.0,438,438,0,0.0,0.067822265625,0.023425292968749997,0.020972514552239693,0.5550892244454323,0.4079395493687321,0,0,0.0,0,0,0,0,2711,742441.0,9906.0,0.067822265625,40886.0,0.0,48,0.02978515625,42972.0,0.0,47,0.014501953125,46324.0,0.0,48,0.035546875,26329.0,0.0,49,0.028759765625000003,75631.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.010986328125,23455.0,0.0,48
4,277629.0,277629.0,0.0,475,475,0,0.0,0.074169921875,0.02685546875,0.02397539250168903,0.556489030371973,0.37726921539176317,0,0,0.0,0,0,0,0,2573,758484.0,8198.0,0.074169921875,40099.0,0.0,49,0.028369140625,26228.0,0.0,46,0.017333984375,44342.0,0.0,48,0.050244140625,55261.0,0.0,50,0.033251953125,72360.0,0.0,49,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.011474609374999998,39339.0,0.0,49
5,245621.0,245621.0,0.0,386,386,0,0.0,0.0740234375,0.028021240234375,0.02523988359516456,0.5520889633930043,0.43464371938881374,0,0,0.0,0,0,0,0,2493,703445.0,6778.0,0.0740234375,31445.0,0.0,49,0.0251953125,17419.0,0.0,48,0.020751953125,48185.0,0.0,47,0.0560546875,45090.0,0.0,48,0.040380859375,75270.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.007763671874999999,28212.0,0.0,49
6,184773.0,184773.0,0.0,268,268,0,0.0,0.064892578125,0.027087402343749997,0.023872331355277523,0.5628506727041732,0.5858303161176135,0,0,0.0,0,0,0,0,2495,638999.0,7270.0,0.064892578125,0.0,0.0,51,0.023583984375,14823.0,0.0,47,0.02421875,47369.0,0.0,45,0.05009765625,19602.0,0.0,48,0.050537109375,78851.0,0.0,47,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0033691406249999997,24128.0,0.0,47
7,222393.0,222393.0,0.0,352,352,0,0.0,0.074658203125,0.029425048828125,0.029191225290981834,0.5040018327582582,0.5993134900828705,0,0,0.0,0,0,0,0,2534,624637.0,8375.0,0.074658203125,40133.0,0.0,50,0.0216796875,15059.0,0.0,48,0.022949218749999997,36437.0,0.0,48,0.043359375,0.0,0.0,46,0.07275390625,106764.0,0.0,44,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,24000.0,0.0,39
8,214096.0,214096.0,0.0,358,358,0,0.0,0.08447265625,0.03089599609375,0.032154717556219084,0.4800520827303587,0.5120518365592996,0,0,0.0,0,0,0,0,2830,750271.0,8174.0,0.08173828125,43181.0,0.0,48,0.01845703125,10847.0,0.0,46,0.01904296875,25505.0,0.0,48,0.03662109375,0.0,0.0,46,0.08447265625,87501.0,0.0,45,0.0068359375,25678.0,0.0,33,0.0,0.0,0.0,0,0.0,21384.0,0.0,17
9,180168.0,180168.0,0.0,263,263,0,0.0,0.086279296875,0.029180908203125,0.030558721654976112,0.47695270143363133,0.5410991408019172,0,0,0.0,0,0,0,0,3137,716671.0,9065.0,0.072802734375,9777.0,0.0,50,0.014208984374999999,9732.0,0.0,47,0.015966796874999998,25563.0,0.0,47,0.029589843749999997,0.0,0.0,48,0.086279296875,73381.0,0.0,48,0.01435546875,41703.0,0.0,48,0.0,0.0,0.0,0,0.000244140625,20012.0,0.0,16
10,186365.0,186365.0,0.0,283,283,0,0.0,0.09262695312500001,0.02860107421875,0.030852070680337018,0.46219654455688636,0.5698286963753914,0,0,0.0,0,0,0,0,2471,595767.0,9072.0,0.06606445312499999,0.0,0.0,46,0.0087890625,4866.0,0.0,49,0.01435546875,30158.0,0.0,47,0.022412109375,0.0,0.0,49,0.09262695312500001,72209.0,0.0,47,0.020263671875,40709.0,0.0,48,0.0,0.0,0.0,0,0.004296875,38423.0,0.0,38
11,229091.0,229091.0,0.0,358,358,0,0.0,0.0998046875,0.029095458984374996,0.03205916363105142,0.45165495031794267,0.48554122597570326,0,0,0.0,0,0,0,0,3043,707645.0,7620.0,0.059033203124999996,0.0,0.0,48,0.003076171875,4656.0,0.0,48,0.01875,47613.0,0.0,49,0.02197265625,21831.0,0.0,49,0.0998046875,75195.0,0.0,46,0.026269531250000002,39077.0,0.0,48,0.0,0.0,0.0,0,0.0038574218749999997,40719.0,0.0,49
12,287001.0,287001.0,0.0,485,485,0,0.0,0.1181640625,0.033972167968749994,0.0372855631754647,0.4536049079067862,0.4863654656255547,0,0,0.0,0,0,0,0,3161,817354.0,7614.0,0.063427734375,28696.0,0.0,47,0.0,0.0,0.0,21,0.022607421875,46012.0,0.0,47,0.038818359375,57180.0,0.0,48,0.1181640625,100294.0,0.0,47,0.015380859375,1472.0,0.0,51,0.003173828125,6876.0,0.0,2,0.010205078125,46471.0,0.0,45
13,283305.0,283305.0,0.0,479,479,0,0.0,0.12412109375,0.036639404296875,0.040721492156078565,0.4473858037004754,0.42707108946188677,0,0,0.0,0,0,0,0,2502,727824.0,10342.0,0.07290039062499999,43254.0,0.0,47,0.0,7220.0,0.0,13,0.025244140624999998,47480.0,0.0,48,0.048925781249999994,53184.0,0.0,49,0.12412109375,82628.0,0.0,49,0.008349609374999999,0.0,0.0,48,0.0,946.0,0.0,16,0.01357421875,48593.0,0.0,48
14,337145.0,337145.0,0.0,619,619,0,0.0,0.14541015624999998,0.044586181640625,0.04770065138707454,0.4662959041217566,0.4876006614364734,0,0,0.0,0,0,0,0,2946,791325.0,7778.0,0.079638671875,41155.0,0.0,50,0.0,0.0,0.0,0,0.027197265625,46966.0,0.0,47,0.068310546875,68344.0,0.0,48,0.14541015624999998,100447.0,0.0,49,0.0013183593749999999,0.0,0.0,48,0.0,0.0,0.0,0,0.034814453125,80233.0,0.0,47
15,283053.0,283053.0,0.0,473,473,0,0.0,0.162548828125,0.0474365234375,0.055216880952369575,0.42464712210051825,0.5614438815345528,0,0,0.0,0,0,0,0,2125,645316.0,8121.0,0.085888671875,45245.0,0.0,48,0.0,0.0,0.0,0,0.02080078125,24128.0,0.0,50,0.08740234375,74518.0,0.0,48,0.162548828125,107998.0,0.0,47,0.0,0.0,0.0,9,0.0,0.0,0.0,0,0.0228515625,31164.0,0.0,50
16,232171.0,232171.0,0.0,381,381,0,0.0,0.1720703125,0.04913330078125,0.05955793783762789,0.4049698487049214,0.557955666297685,0,0,0.0,0,0,0,0,2645,673882.0,8623.0,0.087939453125,31537.0,0.0,48,0.0,0.0,0.0,0,0.0158203125,24000.0,0.0,50,0.09877929687499999,63360.0,0.0,49,0.1720703125,89274.0,0.0,46,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.01845703125,24000.0,0.0,46
17,151090.0,151090.0,0.0,200,200,0,0.0,0.16450195312500002,0.045721435546875,0.056682849469837794,0.3941762751093321,0.49774803097491427,0,0,0.0,0,0,0,0,2587,589545.0,9488.0,0.078662109375,0.0,0.0,46,0.002197265625,17699.0,0.0,33,0.011572265625,25500.0,0.0,46,0.09389648437499999,28458.0,0.0,47,0.16450195312500002,53312.0,0.0,49,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.014941406249999999,26121.0,0.0,48
18,228236.0,228236.0,0.0,349,349,0,0.0,0.16591796874999998,0.047583007812499994,0.05709521221090383,0.40987762552658413,0.3684179971608328,0,0,0.0,0,0,0,0,2624,656874.0,8708.0,0.087451171875,41505.0,0.0,50,0.009130859375,39466.0,0.0,50,0.007177734375,24128.0,0.0,47,0.0923828125,23782.0,0.0,46,0.16591796874999998,53704.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.018603515625,45651.0,0.0,47
19,246766.0,246766.0,0.0,421,421,0,0.0,0.18549804687500002,0.050738525390625,0.06335053330475846,0.39079314482968225,0.44939639172333234,0,0,0.0,0,0,0,0,2814,683022.0,9488.0,0.09516601562499999,39075.0,0.0,47,0.011376953124999999,34523.0,0.0,51,0.002490234375,22628.0,0.0,48,0.09374999999999999,24888.0,0.0,50,0.18549804687500002,92557.0,0.0,50,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.017626953124999997,33095.0,0.0,48
20,223773.0,223773.0,0.0,366,366,0,0.0,0.196923828125,0.0517822265625,0.06756015163719681,0.37006746479247077,0.49965534269102974,0,0,0.0,0,0,0,0,2569,624355.0,9222.0,0.10141601562500001,43652.0,0.0,49,0.006884765625,12328.0,0.0,46,0.0029785156250000003,39322.0,0.0,50,0.09316406249999999,19912.0,0.0,48,0.196923828125,84431.0,0.0,46,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.012890625,24128.0,0.0,48
21,242925.0,242925.0,0.0,410,410,0,0.0,0.21279296874999998,0.054943847656249996,0.07430477878475508,0.3534946695487546,0.5239863126479358,0,0,0.0,0,0,0,0,2906,743126.0,9648.0,0.11787109375,63877.0,0.0,50,0.005126953125,14960.0,0.0,47,0.000146484375,21659.0,0.0,38,0.09511718749999999,24003.0,0.0,48,0.21279296874999998,95839.0,0.0,48,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.00849609375,22587.0,0.0,49
22,223518.0,223518.0,0.0,354,354,0,0.0,0.21943359375,0.055548095703124994,0.07590747010870766,0.3487561911569206,0.4879338576758909,0,0,0.0,0,0,0,0,2619,630952.0,8561.0,0.1154296875,30624.0,0.0,48,0.002783203125,14325.0,0.0,51,0.0,22628.0,0.0,17,0.09580078125,25302.0,0.0,50,0.21943359375,83865.0,0.0,49,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0109375,46774.0,0.0,50
23,191159.0,191159.0,0.0,285,285,0,0.0,0.211083984375,0.056134033203125,0.0715092430738504,0.3812715874751611,0.576393865839431,0,0,0.0,0,0,0,0,3060,646086.0,10321.0,0.10634765624999999,224.0,0.0,47,0.001025390625,17342.0,0.0,46,0.000244140625,24128.0,0.0,16,0.094775390625,20899.0,0.0,50,0.211083984375,46884.0,0.0,47,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.035595703125,81682.0,0.0,47
24,167782.0,167782.0,0.0,228,228,0,0.0,0.20947265625,0.055041503906250004,0.07098224300144393,0.37550537973650966,0.5193644133458881,0,0,0.0,0,0,0,0,2473,579298.0,8826.0,0.099609375,0.0,0.0,46,0.000146484375,6571.0,0.0,20,0.005517578125,46526.0,0.0,44,0.100390625,33009.0,0.0,47,0.20947265625,48256.0,0.0,45,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0251953125,33420.0,0.0,45
25,205115.0,205115.0,0.0,324,324,0,0.0,0.207421875,0.0560546875,0.06880714469117999,0.39892714020998726,0.4130164785608066,0,0,0.0,0,0,0,0,2685,694243.0,8377.0,0.092578125,0.0,0.0,48,0.0,17092.0,0.0,36,0.0,26795.0,0.0,49,0.1015625,24643.0,0.0,48,0.207421875,45928.0,0.0,48,0.0,0.0,0.0,0,0.02197265625,56310.0,0.0,31,0.02490234375,34347.0,0.0,48
