epoch,bucket,queue,bytes
0,0,0,0.0
0,1,1,9856.0
0,2,2,0.0
0,3,3,0.0
0,4,4,0.0
0,5,5,0.0
0,6,6,0.0
0,7,7,16051.0
0,8,0,0.0
0,9,1,0.0
0,10,2,4736.0
0,11,3,5408.0
0,12,4,6848.0
0,13,5,23456.0
0,14,6,0.0
0,15,7,7399.0
0,16,0,5472.0
0,17,1,12000.0
0,18,2,8320.0
0,19,3,7884.0
0,20,4,5344.0
0,21,5,0.0
0,22,6,0.0
0,23,7,0.0
0,24,0,0.0
0,25,1,3424.0
0,26,2,12000.0
0,27,3,0.0
0,28,4,21676.0
0,29,5,0.0
0,30,6,10880.0
0,31,7,0.0
0,32,0,0.0
0,33,1,16448.0
0,34,2,0.0
0,35,3,15808.0
0,36,4,0.0
0,37,5,1760.0
0,38,6,0.0
0,39,7,0.0
0,40,0,12000.0
0,41,1,12544.0
0,42,2,0.0
0,43,3,0.0
0,44,4,3392.0
0,45,5,1120.0
0,46,6,0.0
0,47,7,0.0
0,48,0,12000.0
0,49,1,0.0
0,50,2,4288.0
0,51,3,0.0
0,52,4,27908.0
0,53,5,0.0
0,54,6,0.0
0,55,7,16736.0
0,56,0,0.0
0,57,1,5536.0
0,58,2,9256.0
0,59,3,4928.0
0,60,4,15360.0
0,61,5,0.0
0,62,6,4832.0
0,63,7,4800.0
0,64,0,0.0
0,65,1,5952.0
0,66,2,1824.0
0,67,3,0.0
0,68,4,10316.0
0,69,5,0.0
0,70,6,13920.0
0,71,7,3072.0
0,72,0,3296.0
0,73,1,10720.0
0,74,2,6752.0
0,75,3,18592.0
0,76,4,8384.0
0,77,5,0.0
0,78,6,0.0
0,79,7,1093.0
0,80,0,0.0
0,81,1,16192.0
0,82,2,4800.0
0,83,3,9864.0
0,84,4,21408.0
0,85,5,4192.0
0,86,6,6080.0
0,87,7,6752.0
0,88,0,0.0
0,89,1,12000.0
0,90,2,7104.0
0,91,3,41396.0
0,92,4,1792.0
0,93,5,17312.0
0,94,6,26592.0
0,95,7,0.0
0,96,0,19488.0
0,97,1,12000.0
0,98,2,0.0
0,99,3,0.0
0,100,4,14880.0
0,101,5,3616.0
0,102,6,4416.0
0,103,7,20164.0
0,104,0,10628.0
0,105,1,12000.0
0,106,2,0.0
0,107,3,14784.0
0,108,4,10628.0
0,109,5,4768.0
0,110,6,352.0
0,111,7,9256.0
0,112,0,14848.0
0,113,1,0.0
0,114,2,4128.0
0,115,3,21728.0
0,116,4,3200.0
0,117,5,19624.0
0,118,6,0.0
0,119,7,0.0
0,120,0,12000.0
0,121,1,7306.0
0,122,2,23616.0
0,123,3,0.0
0,124,4,22276.0
0,125,5,7936.0
0,126,6,14112.0
0,127,7,0.0
1,0,0,0.0
1,1,1,8448.0
1,2,2,0.0
1,3,3,0.0
1,4,4,0.0
1,5,5,0.0
1,6,6,0.0
1,7,7,10876.0
1,8,0,0.0
1,9,1,0.0
1,10,2,4992.0
1,11,3,2016.0
1,12,4,5298.0
1,13,5,2016.0
1,14,6,0.0
1,15,7,3488.0
1,16,0,4032.0
1,17,1,12000.0
1,18,2,12832.0
1,19,3,7884.0
1,20,4,896.0
1,21,5,0.0
1,22,6,0.0
1,23,7,0.0
