epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,176908.0,173908.0,3000.0,128,126,2,0.016957966852827362,0.03626071756209845,0.009659542820262143,0.014308266992836806,0.31308308932190826,0.19427894724941686,0,0,0.0,0,0,0,2,6135,1044537.0,262057.0,0.00146484375,22628.0,0.0,10,0.03626071756209845,21256.0,1500.0,11,0.032470703124998695,24000.0,1500.0,10,0.00146484375,22628.0,0.0,10,0.001953125,31884.0,0.0,16,0.0,0.0,0.0,0,0.002197265625,30512.0,0.0,15,0.00146484375,24000.0,0.0,10
1,184159.0,155659.0,28500.0,136,117,19,0.15475757361844844,0.13169027344262124,0.06975559612198806,0.04335077163834515,0.7213884310705266,0.22884640446570548,0,0,0.0,0,0,0,19,4179,811817.0,262135.0,0.09987378227472161,22628.0,4500.0,16,0.13169027344262124,22857.0,6000.0,14,0.04124668289487681,18512.0,1500.0,15,0.11646526848999127,25889.0,6000.0,16,0.02372419638561395,33256.0,1500.0,23,0.0,0.0,0.0,0,0.08470243326256208,35915.0,6000.0,24,0.0603421322255175,25102.0,3000.0,18
2,169572.0,139572.0,30000.0,133,113,20,0.17691600028306456,0.14066528677524434,0.07802401617758226,0.04625965385949436,0.7399084931585134,0.212365543839784,0,0,0.0,0,0,0,20,3986,752305.0,262136.0,0.11492512689142477,19628.0,4500.0,12,0.10635138135751192,21392.0,4500.0,11,0.03879665688047492,19628.0,1500.0,14,0.14066528677524434,21529.0,6000.0,11,0.11719999330785522,32279.0,7500.0,20,0.00048828125,1018.0,0.0,0,0.07134996613473846,31928.0,4500.0,27,0.03441543682340849,22170.0,1500.0,15
3,185870.0,148370.0,37500.0,144,119,25,0.20175391402593104,0.15372842126689046,0.08978309706357027,0.05076268213382793,0.7577660110251367,0.20547829127884998,0,0,0.0,0,0,0,25,4485,825980.0,262127.0,0.033926026383240535,22628.0,1500.0,13,0.1288695977181218,23484.0,6000.0,15,0.14157607337339378,21256.0,6000.0,13,0.05989452571728335,25417.0,3000.0,19,0.10536097182900647,35741.0,7500.0,24,0.000146484375,1002.0,0.0,4,0.09476267584562567,31855.0,6000.0,24,0.15372842126689046,24487.0,7500.0,13
4,185356.0,162856.0,22500.0,150,135,15,0.12138803167957811,0.13264126454379543,0.05504524368087754,0.04044980107189551,0.6493509496108542,0.2123764539588675,0,0,0.0,0,0,0,15,3792,792932.0,262136.0,0.000830078125,19884.0,0.0,15,0.06714837938408899,22685.0,3000.0,18,0.13264126454379543,22819.0,6000.0,10,0.05255455724701949,29165.0,3000.0,24,0.04228329060643656,37374.0,3000.0,18,0.000146484375,1399.0,0.0,2,0.08234688141475507,27768.0,4500.0,18,0.06241101375092483,24262.0,3000.0,15
5,183479.0,165351.0,18128.0,150,137,13,0.09880149771908449,0.16824364751921725,0.047285196484431066,0.050576443295615024,0.4664063622118451,0.17217433602755539,0,0,0.0,0,0,0,13,3973,813586.0,262115.0,0.031476765834687656,24590.0,1500.0,15,0.00126953125,23706.0,0.0,19,0.07056009180484953,22524.0,3128.0,15,0.16824364751921725,22367.0,7500.0,17,0.04830617654205425,32023.0,3000.0,28,0.000146484375,3757.0,0.0,5,0.024548160666399338,31884.0,1500.0,23,0.03373071388324054,22628.0,1500.0,15
6,192972.0,177972.0,15000.0,156,146,10,0.07773148436042494,0.07928117046280636,0.03636985187773678,0.033173551622224275,0.5458643395096753,0.14072507928611322,0,0,0.0,0,0,0,10,4104,794059.0,262140.0,0.07928117046280636,28878.0,4500.0,17,0.032688452719879336,23797.0,1500.0,17,0.00126953125,25468.0,0.0,17,0.0010742187499999999,24202.0,0.0,15,0.024906232063387736,31796.0,1500.0,27,0.00087890625,8619.0,0.0,8,0.07921777465162391,28956.0,4500.0,22,0.07164252887419689,21256.0,3000.0,12
7,180429.0,180429.0,0.0,136,136,0,0.0,0.001025390625,0.0005126953124999999,0.0003107402847011195,0.7313114910581239,0.23519570024774206,0,0,0.0,0,0,0,0,3023,652295.0,235856.0,0.0008789062499999999,27977.0,0.0,24,0.00043945312499999996,21178.0,0.0,21,0.000146484375,19695.0,0.0,25,0.00029296875,22866.0,0.0,20,0.000732421875,33128.0,0.0,27,0.000146484375,345.0,0.0,4,0.001025390625,35484.0,0.0,27,0.00043945312499999996,19756.0,0.0,18
8,171416.0,171416.0,0.0,142,142,0,0.0,0.00029296875,5.4931640624999995e-05,0.00010194881035455362,0.23090400728493415,0.17080377561021054,0,0,0.0,0,0,0,0,3256,712747.0,117695.0,0.00029296875,19006.0,0.0,26,0.0,23586.0,0.0,21,0.0,25810.0,0.0,20,0.000146484375,26166.0,0.0,21,0.0,27512.0,0.0,27,0.0,1111.0,0.0,4,0.0,26012.0,0.0,28,0.0,22213.0,0.0,20
9,189650.0,189650.0,0.0,144,144,0,0.0,0.000244140625,0.00015869140625,9.991885707852113e-05,0.7180356071020219,0.2025191141576581,0,0,0.0,0,0,0,0,3130,659566.0,46848.0,0.000146484375,24504.0,0.0,19,0.0,25238.0,0.0,18,0.000244140625,20047.0,0.0,16,0.000146484375,22165.0,0.0,18,0.0,35892.0,0.0,27,0.000244140625,2991.0,0.0,2,0.000244140625,33256.0,0.0,23,0.000244140625,25557.0,0.0,18
