epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,2306462.0,2292237.0,0.0,4836,4803,0,0.0,0.09814453125,0.036224365234375,0.03503097625867077,0.5167433637287632,0.1482576994548359,0,0,0.0,0,0,0,0,28573,8852230.0,123008.0,0.080078125,346932.0,0.0,479,0.000732421875,177861.0,0.0,416,0.017333984375,259942.0,0.0,476,0.004150390625,280590.0,0.0,425,0.09814453125,440647.0,0.0,487,0.045654296875,312767.0,0.0,479,0.043212890625,287029.0,0.0,485,0.00048828125,200694.0,0.0,369
1,2069206.0,2069206.0,0.0,3937,3937,0,0.0,0.09086914062500001,0.031909179687500004,0.02910001609841128,0.5459475013401615,0.13042756496936492,0,0,0.0,0,0,0,0,25914,8411265.0,7627.0,0.052929687499999996,223845.0,0.0,485,0.0026367187499999997,186076.0,0.0,385,0.011376953125,198972.0,0.0,481,0.000146484375,217192.0,0.0,332,0.09086914062500001,360301.0,0.0,487,0.041552734375,324426.0,0.0,478,0.0427734375,243777.0,0.0,486,0.01298828125,314617.0,0.0,476
2,2242412.0,2242412.0,0.0,4079,4079,0,0.0,0.15693359375000002,0.042779541015625006,0.0530527321049721,0.3940251237367422,0.17203439867428472,0,0,0.0,0,0,0,0,26684,9013704.0,7607.0,0.08784179687499999,247442.0,0.0,483,0.0,218148.0,0.0,421,0.0,162286.0,0.0,448,0.000390625,304839.0,0.0,437,0.15693359375000002,489467.0,0.0,485,0.0556640625,330524.0,0.0,479,0.04140625,259018.0,0.0,479,0.0,230688.0,0.0,410
3,2116085.0,2116085.0,0.0,4050,4050,0,0.0,0.18789062499999998,0.05454711914062499,0.06479783069603992,0.41474325541140544,0.18385514995853192,0,0,0.0,0,0,0,0,25997,8700599.0,6080.0,0.112646484375,266268.0,0.0,475,0.0,148825.0,0.0,361,0.000732421875,152334.0,0.0,372,0.0,280862.0,0.0,430,0.18789062499999998,412112.0,0.0,479,0.079248046875,365198.0,0.0,480,0.055859375,275059.0,0.0,475,0.0,215427.0,0.0,362
4,2049050.0,2049050.0,0.0,3945,3945,0,0.0,0.20219726562499998,0.060247802734374994,0.06766690034930706,0.44219594489676267,0.14284400087845572,0,0,0.0,0,0,0,0,26275,8614792.0,8116.0,0.12124023437499999,259630.0,0.0,479,0.0,152552.0,0.0,346,0.0080078125,213274.0,0.0,470,0.0087890625,307100.0,0.0,443,0.20219726562499998,346794.0,0.0,488,0.07910156249999999,329747.0,0.0,483,0.060693359375,247946.0,0.0,478,0.001953125,192007.0,0.0,324
5,2019458.0,2019458.0,0.0,3756,3756,0,0.0,0.2404296875,0.06470947265625,0.07913905161943936,0.4006883730076415,0.19917670979044866,0,0,0.0,0,0,0,0,24143,8047512.0,5338.0,0.106494140625,180407.0,0.0,482,0.00048828125,101512.0,0.0,257,0.005224609375,215241.0,0.0,488,0.00029296875,266832.0,0.0,411,0.2404296875,382856.0,0.0,480,0.10390625,392929.0,0.0,478,0.06025390625,245288.0,0.0,485,0.0005859375,234393.0,0.0,384
6,2058497.0,2058497.0,0.0,3793,3793,0,0.0,0.25229492187499997,0.072698974609375,0.08775179070190213,0.4070055104711566,0.1722343413665406,0,0,0.0,0,0,0,0,24593,8524805.0,7653.0,0.114794921875,238951.0,0.0,489,0.0005371093749999999,141888.0,0.0,328,0.0,175524.0,0.0,424,0.00224609375,257914.0,0.0,363,0.25229492187499997,316913.0,0.0,473,0.15400390625,436243.0,0.0,477,0.057714843749999994,239516.0,0.0,486,0.0,251548.0,0.0,364
7,2250382.0,2250382.0,0.0,4299,4299,0,0.0,0.26796875,0.09414062499999999,0.10354330016804242,0.45254317674992967,0.20273258051299736,0,0,0.0,0,0,0,0,24381,8452259.0,8616.0,0.19741210937499998,383851.0,0.0,480,0.00029296875,125033.0,0.0,325,0.0078125,175257.0,0.0,412,0.00043945312499999996,254902.0,0.0,397,0.26796875,327704.0,0.0,479,0.199267578125,459081.0,0.0,491,0.07822265625000001,278488.0,0.0,483,0.001708984375,246066.0,0.0,359
8,2125747.0,2125747.0,0.0,3856,3856,0,0.0,0.30712890625,0.09971923828125,0.11973269510665022,0.40955683343529664,0.2512456209511291,0,0,0.0,0,0,0,0,23944,8391908.0,6883.0,0.188671875,297488.0,0.0,488,0.0,119148.0,0.0,252,0.00043945312499999996,167325.0,0.0,432,0.000146484375,245310.0,0.0,410,0.30712890625,382083.0,0.0,485,0.247900390625,515694.0,0.0,477,0.053466796875,162665.0,0.0,483,0.0,236034.0,0.0,355
9,2113365.0,1991145.0,122220.0,3901,3697,204,0.05783194100403856,0.4436900225462691,0.12028058875578362,0.15621453365900473,0.3721970931132711,0.24061928488453255,0,0,0.0,0,0,0,0,23567,8222238.0,6592.0,0.2052734375,306919.0,0.0,484,0.0,107291.0,0.0,280,0.003857421875,189570.0,0.0,421,0.00185546875,247000.0,0.0,402,0.4436900225462691,452999.0,122220.0,486,0.26484375,432003.0,0.0,479,0.04248046875,183326.0,0.0,480,0.000244140625,194257.0,0.0,323
