epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,13479.0,13479.0,0.0,19,19,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.5496605831292967,19,2547.0347715103126,2228.380414755724,4515.780890928639,4844.413115738251,4918.355366320413,4926.571171940654,0,0,0.0,0,0,0,0,19,13479.0,1500.0,0.0,1064.0,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,740.0,0.0,2,0.0,4491.0,0.0,4,0.0,838.0,0.0,2,0.0,1403.0,0.0,4,0.0,4943.0,0.0,4
1,1511.0,1511.0,0.0,6,6,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.6618960953009771,6,2248.348740273621,2304.374830389628,2488.932973522111,2505.732859679195,2509.512834064539,2509.932831218466,0,0,0.0,0,0,0,0,6,1511.0,646.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,130.0,0.0,1,0.0,163.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,646.0,0.0,1,0.0,572.0,0.0,3
2,60522.0,60522.0,0.0,51,51,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.6461658570437161,51,5616.021481845761,4858.165204033256,12254.976413872326,14269.92784290528,14619.283140054627,14658.10039529344,0,0,0.0,0,0,0,0,51,60522.0,1500.0,0.0,1541.0,0.0,2,0.0,243.0,0.0,1,0.0,105.0,0.0,1,0.0,12138.0,0.0,11,0.0,745.0,0.0,2,0.0,0.0,0.0,0,0.0,24076.0,0.0,17,0.0,21674.0,0.0,17
3,103922.0,103922.0,0.0,82,82,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.765321587344352,82,15422.973774618815,10220.59207098186,39216.34905531816,42355.183720631365,42746.521249347534,42790.00319698267,0,0,0.0,0,0,0,0,82,103922.0,1500.0,0.0,13491.0,0.0,12,0.0,2206.0,0.0,4,0.0,78031.0,0.0,53,0.0,8063.0,0.0,8,0.0,595.0,0.0,1,0.0,119.0,0.0,1,0.0,0.0,0.0,0,0.0,1417.0,0.0,3
4,1187830.0,1187830.0,0.0,802,802,0,0.0,0.054443359375,0.01031494140625,0.019043262185990402,0.22687321296298976,0.7857163903925641,802,192085.96895360158,176430.148165931,425099.26625280466,454501.7402899427,461367.88179843425,462175.42078312766,0,0,0.0,0,0,0,0,802,1187830.0,2379.0,0.054443359375,781960.0,0.0,300,0.0,1889.0,0.0,2,0.0,0.0,0.0,0,0.0,1363.0,0.0,3,0.0,6438.0,0.0,5,0.0,0.0,0.0,0,0.028076171875,395170.0,0.0,151,0.0,1010.0,0.0,3
5,1837039.0,1837039.0,0.0,1240,1240,0,0.0,0.071240234375,0.013543701171875,0.02496202609773286,0.22745726776698735,0.7482196213580656,1240,606624.6357076569,608034.0169870849,972498.7816762233,1017222.5910575709,1027097.9278827028,1028441.9431964159,0,0,0.0,0,0,0,0,1240,1837039.0,2392.0,0.071240234375,949975.0,0.0,478,0.0,121.0,0.0,1,0.0,0.0,0.0,0,0.0,27745.0,0.0,22,0.0,1396.0,0.0,3,0.0,401.0,0.0,2,0.037109375,852203.0,0.0,486,0.0,5198.0,0.0,7
6,311906.0,311906.0,0.0,219,219,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.7468900886805634,219,45366.34602684266,24807.802481447347,104208.59528947687,476089.69988626835,558281.4650615448,558447.3209451204,0,0,0.0,0,0,0,0,219,311906.0,1500.0,0.0,44894.0,0.0,414,0.0,63147.0,0.0,45,0.0,480.0,0.0,1,0.0,0.0,0.0,0,0.0,201939.0,0.0,136,0.0,0.0,0.0,0,0.0,320.0,0.0,199,0.0,1126.0,0.0,3
7,612809.0,612809.0,0.0,430,430,0,0.0,0.01806640625,0.00225830078125,0.0059749022527703765,0.12509683303906835,0.6177791530476866,430,46915.379420486075,36812.62064245436,130150.59246019539,146097.8366123801,149929.7556105892,150049.92390452232,0,0,0.0,0,0,0,0,430,612809.0,1500.0,0.01806640625,255321.0,0.0,99,0.0,1797.0,0.0,4,0.0,136.0,0.0,1,0.0,177695.0,0.0,125,0.0,552.0,0.0,3,0.0,8083.0,0.0,7,0.0,68783.0,0.0,47,0.0,100442.0,0.0,70
8,2130899.0,2130899.0,0.0,1445,1445,0,0.0,0.057470703125,0.016705322265625,0.022414003346186616,0.3571396273933669,0.6776805822331327,1445,274348.94780883763,253868.21019407548,559909.2926619007,605115.7128320123,615975.5144494362,617450.6038466971,0,0,0.0,0,0,0,0,1445,2130899.0,2888.0,0.057470703125,1010375.0,0.0,486,0.0,14301.0,0.0,14,0.0,1739.0,0.0,3,0.033203125,473878.0,0.0,187,0.04296875,613500.0,0.0,233,0.0,224.0,0.0,2,0.0,16048.0,0.0,13,0.0,834.0,0.0,4
9,3342658.0,3342658.0,0.0,2239,2239,0,0.0,0.129150390625,0.034674072265625,0.05027667883595656,0.3223386355392965,0.6601942226814708,2239,752015.2160923223,731955.87296913,1227869.7308970925,1306342.0411844025,1326072.69170695,1328133.1242506355,0,0,0.0,0,0,0,0,2239,3342658.0,1550.0,0.129150390625,1283309.0,0.0,488,0.0,0.0,0.0,0,0.0,3303.0,0.0,4,0.107080078125,1253072.0,0.0,483,0.041162109375000006,801394.0,0.0,472,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1580.0,0.0,2
