epoch,bucket,queue,bytes
0,0,2,18291.0
0,1,4,70289.0
0,2,1,20734.0
0,3,7,0.0
0,4,1,25640.0
0,5,4,25099.0
0,6,2,18751.0
0,7,5,6295.0
0,8,3,30237.0
0,9,3,0.0
0,10,4,0.0
0,11,5,5862.0
0,12,1,25878.0
0,13,4,14226.0
0,14,5,4534.0
0,15,6,6175.0
0,16,2,5094.0
0,17,2,9689.0
0,18,0,16949.0
0,19,0,75376.0
0,20,7,6092.0
0,21,3,66940.0
0,22,5,27328.0
0,23,0,10846.0
0,24,2,11312.0
0,25,0,3754.0
0,26,0,5809.0
0,27,0,0.0
0,28,7,32930.0
0,29,5,10527.0
0,30,6,0.0
0,31,6,17615.0
0,32,0,5169.0
0,33,7,20709.0
0,34,6,3939.0
0,35,4,6033.0
0,36,5,22240.0
0,37,0,3229.0
0,38,1,0.0
0,39,5,0.0
0,40,7,9191.0
0,41,7,13186.0
0,42,2,9780.0
0,43,6,11374.0
0,44,0,14000.0
0,45,3,25291.0
0,46,3,16459.0
0,47,7,0.0
0,48,0,6466.0
0,49,1,7399.0
0,50,1,0.0
0,51,4,23950.0
0,52,0,17680.0
0,53,1,19255.0
0,54,5,45059.0
0,55,0,35373.0
0,56,6,38880.0
0,57,6,45849.0
0,58,1,11710.0
0,59,0,24285.0
0,60,5,15968.0
0,61,4,5262.0
0,62,7,20176.0
0,63,4,21729.0
0,64,2,12043.0
0,65,5,0.0
0,66,6,17562.0
0,67,0,14114.0
0,68,7,0.0
0,69,3,12292.0
0,70,7,0.0
0,71,2,47604.0
0,72,5,18078.0
0,73,2,28604.0
0,74,0,58574.0
0,75,7,33403.0
0,76,5,31560.0
0,77,7,0.0
0,78,4,64128.0
0,79,4,33847.0
0,80,7,35374.0
0,81,6,24243.0
0,82,5,37763.0
0,83,2,22879.0
0,84,4,21369.0
0,85,2,11423.0
0,86,2,11516.0
0,87,0,11166.0
0,88,2,7720.0
0,89,2,30809.0
0,90,6,1725.0
0,91,6,7588.0
0,92,7,12029.0
0,93,4,4726.0
0,94,5,21237.0
0,95,4,23260.0
0,96,0,4488.0
0,97,6,0.0
0,98,6,5877.0
0,99,6,4366.0
0,100,3,30954.0
0,101,6,7463.0
0,102,7,249.0
0,103,7,0.0
0,104,0,43278.0
0,105,6,52121.0
0,106,5,34350.0
0,107,4,3610.0
0,108,2,763.0
0,109,7,48401.0
0,110,5,30362.0
0,111,2,28622.0
0,112,7,17681.0
0,113,1,0.0
0,114,0,80908.0
0,115,3,34578.0
0,116,5,0.0
0,117,0,28327.0
0,118,7,48911.0
0,119,0,16813.0
0,120,3,19774.0
0,121,5,51798.0
0,122,0,420.0
