epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,2361272.0,2361272.0,0.0,5042,5042,0,0.0,0.1064453125,0.044342041015625,0.03475274211627007,0.6194853359355428,0.18062859763720573,5042,297120.1604375777,246043.9160984781,735496.0343743498,890114.717122431,915117.2776426297,916631.8272096715,0,0,0.0,0,0,0,0,5042,2361272.0,7568.0,0.1064453125,477024.0,0.0,477,0.0,110616.0,0.0,257,0.069580078125,310449.0,0.0,477,0.022705078125,239585.0,0.0,473,0.0263671875,317528.0,0.0,473,0.07958984375,362961.0,0.0,477,0.010498046875,244777.0,0.0,477,0.03955078125,298332.0,0.0,478
1,1857042.0,1857042.0,0.0,3833,3833,0,0.0,0.14858398437499998,0.0421875,0.04878665841794176,0.42784593836990625,0.2777536803152538,3833,582519.5429544512,602207.6148396914,1395972.494836028,1590266.809287704,1627596.1888227481,1633149.8123160945,0,0,0.0,0,0,0,0,3833,1857042.0,2920.0,0.14858398437499998,442911.0,0.0,478,0.0,68923.0,0.0,169,0.0537109375,201824.0,0.0,480,0.0,87265.0,0.0,309,0.0197265625,296902.0,0.0,482,0.08486328125,319476.0,0.0,486,0.003955078125,195298.0,0.0,483,0.026660156249999997,244443.0,0.0,479
2,1858338.0,1858338.0,0.0,3635,3635,0,0.0,0.209912109375,0.050701904296875,0.06901122635540313,0.3505542450043173,0.29618831450468086,3635,836398.9738615005,551029.4146495657,2254431.1349965753,2404955.614626599,2438064.707523682,2440692.224522001,0,0,0.0,0,0,0,0,3635,1858338.0,3222.0,0.209912109375,443915.0,0.0,480,0.0,66126.0,0.0,164,0.036474609375,159381.0,0.0,476,0.0009765625,122729.0,0.0,274,0.008056640625,266712.0,0.0,477,0.106640625,380070.0,0.0,482,0.000732421875,148905.0,0.0,363,0.042822265625,270500.0,0.0,480
3,1939697.0,1939697.0,0.0,3740,3740,0,0.0,0.228466796875,0.0580078125,0.08045666057547399,0.34202673891321,0.25908808179834253,3740,966656.7714000605,536859.3675229398,2792100.6394560807,2908644.3988395236,2924477.3724903287,2925155.8044328643,0,0,0.0,0,0,0,0,3740,1939697.0,3107.0,0.228466796875,383970.0,0.0,478,0.0,73471.0,0.0,169,0.031494140625,193677.0,0.0,480,0.00029296875,130491.0,0.0,312,0.0052734374999999995,295804.0,0.0,471,0.153271484375,406803.0,0.0,480,0.0005859375,182379.0,0.0,401,0.044677734375,273102.0,0.0,486
4,1996533.0,1996533.0,0.0,3976,3976,0,0.0,0.285400390625,0.07030029296875,0.09958897325607,0.3325785489673951,0.2632715687644531,3976,1176610.6950566773,588924.0012904573,3432576.207855221,3569149.479907529,3598384.583901579,3602626.4204491675,0,0,0.0,0,0,0,0,3976,1996533.0,3743.0,0.285400390625,443357.0,0.0,483,0.000244140625,78271.0,0.0,205,0.028271484375,203268.0,0.0,482,0.0,120147.0,0.0,278,0.00576171875,295357.0,0.0,484,0.18125,371349.0,0.0,482,0.00029296875,193539.0,0.0,473,0.061181640625,291245.0,0.0,489
5,2099950.0,2099950.0,0.0,3972,3972,0,0.0,0.315087890625,0.083807373046875,0.10632664198755644,0.3831995229052604,0.26991142646253485,3972,1312773.520495981,530649.8162837005,4046457.2919058115,4100800.9163786173,4107774.832231195,4114629.686114067,0,0,0.0,0,0,0,0,3972,2099950.0,3567.0,0.315087890625,396204.0,0.0,481,0.000146484375,69215.0,0.0,166,0.046582031249999996,231312.0,0.0,479,0.000244140625,161974.0,0.0,331,0.04267578125,454266.0,0.0,484,0.196875,361544.0,0.0,485,0.001025390625,155801.0,0.0,376,0.06782226562499999,269634.0,0.0,477
6,2161357.0,2016840.0,144517.0,4145,3855,290,0.06686401182220242,0.46292350155176004,0.11444502753772001,0.15037796535868028,0.3667687261191692,0.30212552808258875,3855,1449352.5320233188,784730.2385321399,4239780.840764149,4243791.308087278,4245901.47351328,4246941.287518112,0,0,0.0,0,0,0,0,3855,2016840.0,2656.0,0.46292350155176004,461492.0,144517.0,478,0.0,60803.0,0.0,122,0.041210937499999996,199748.0,0.0,474,0.0,137796.0,0.0,324,0.075927734375,465211.0,0.0,492,0.22958984375,369417.0,0.0,476,0.0,150180.0,0.0,372,0.105908203125,316710.0,0.0,480
7,1930967.0,1761255.0,169712.0,3761,3422,339,0.08788964285769768,0.5076217153991143,0.12125300739363928,0.16442468993382,0.3522546112798544,0.29507022906139757,3422,1557466.9255339163,1000366.8072906872,4237802.948447691,4241676.487094734,4245207.52616485,4245847.196759071,0,0,0.0,0,0,0,0,3422,1761255.0,2684.0,0.5076217153991143,406982.0,169712.0,477,0.000244140625,57194.0,0.0,139,0.03984375,187496.0,0.0,471,0.0,106446.0,0.0,272,0.08525390625,398493.0,0.0,485,0.24287109375,352532.0,0.0,476,0.002685546875,160627.0,0.0,355,0.09150390624999999,261197.0,0.0,483
8,2026413.0,1916683.0,109730.0,3930,3701,229,0.05414986974520986,0.44529732067508937,0.11899834672501117,0.15077821591586202,0.3838132543586136,0.24329622095791903,3701,1601443.1656742075,1075638.7530200686,4232407.705563866,4235754.335679082,4238961.630665338,4239668.33333474,0,0,0.0,0,0,0,0,3701,1916683.0,2704.0,0.44529732067508937,377859.0,109730.0,488,0.0,77998.0,0.0,193,0.059130859375,234286.0,0.0,483,0.0,153402.0,0.0,367,0.07578125,342984.0,0.0,486,0.28271484375,415740.0,0.0,472,0.0013183593749999999,190712.0,0.0,443,0.087744140625,233432.0,0.0,482
9,2026593.0,1845834.0,180759.0,3892,3547,345,0.08919353812038229,0.4988350688034071,0.1293892957098009,0.17049586446375076,0.3654543805011028,0.2796779496425774,3547,1767417.839490707,1130510.213613227,4234101.718868402,4244219.5541216405,4247630.133519623,4248444.465570321,0,0,0.0,0,0,0,0,3547,1845834.0,2766.0,0.4988350688034071,454992.0,180759.0,484,0.000244140625,75558.0,0.0,172,0.031494140625,150204.0,0.0,483,0.0,137811.0,0.0,314,0.087939453125,366049.0,0.0,475,0.318505859375,383754.0,0.0,479,0.012548828125000001,229642.0,0.0,474,0.085546875,228583.0,0.0,482
10,1949450.0,1687443.0,262007.0,3772,3274,498,0.13440047192797963,0.46698427411700566,0.14065477151465092,0.18941890124178876,0.3554191949753781,0.2705341250096178,3274,1693558.7785421521,1158159.134989813,4299257.76994351,4304789.946686777,4307874.745082222,4308900.181428475,0,0,0.0,0,0,0,0,3274,1687443.0,3160.0,0.46698427411700566,405637.0,135470.0,483,0.0,74052.0,0.0,158,0.026953124999999998,190036.0,0.0,482,0.0009765625,137323.0,0.0,306,0.084716796875,344266.0,0.0,480,0.4607929605002016,398684.0,126537.0,488,0.001171875,162743.0,0.0,451,0.08364257812499999,236709.0,0.0,480
