epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,2306462.0,2292237.0,0.0,4836,4803,0,0.0,0.09814453125,0.036224365234375,0.03503097625867077,0.5167433637287632,0.1482576994548359,0,0,0.0,0,0,0,0,28573,8852230.0,123008.0,0.080078125,346932.0,0.0,479,0.000732421875,177861.0,0.0,416,0.017333984375,259942.0,0.0,476,0.004150390625,280590.0,0.0,425,0.09814453125,440647.0,0.0,487,0.045654296875,312767.0,0.0,479,0.043212890625,287029.0,0.0,485,0.00048828125,200694.0,0.0,369
1,2069206.0,2069206.0,0.0,3937,3937,0,0.0,0.09086914062500001,0.031848144531250004,0.029175588685040055,0.54371150683551,0.13042756496936492,0,0,0.0,0,0,0,0,25939,8418701.0,7627.0,0.052929687499999996,223845.0,0.0,485,0.001904296875,186076.0,0.0,388,0.0111328125,198972.0,0.0,482,0.000146484375,217192.0,0.0,332,0.09086914062500001,360301.0,0.0,487,0.041552734375,324426.0,0.0,478,0.0427734375,243777.0,0.0,486,0.0134765625,314617.0,0.0,474
2,2242412.0,2242412.0,0.0,4079,4079,0,0.0,0.1564453125,0.042401123046875,0.052833852895191144,0.3917564103592288,0.17203439867428472,0,0,0.0,0,0,0,0,26799,9045747.0,7607.0,0.08759765625,247442.0,0.0,484,0.0,218148.0,0.0,418,0.0,162286.0,0.0,447,0.000390625,304839.0,0.0,437,0.1564453125,489467.0,0.0,487,0.053955078125,330524.0,0.0,486,0.040673828125,259018.0,0.0,482,0.000146484375,230688.0,0.0,411
3,2116085.0,2116085.0,0.0,4050,4050,0,0.0,0.187353515625,0.05406494140625,0.06460757044309745,0.4118633452360883,0.18385514995853192,0,0,0.0,0,0,0,0,26211,8739012.0,6080.0,0.111767578125,266268.0,0.0,478,0.0,148825.0,0.0,361,0.000732421875,152334.0,0.0,372,0.0,280862.0,0.0,430,0.187353515625,412112.0,0.0,480,0.08017578125,365198.0,0.0,472,0.052490234375,275059.0,0.0,487,0.0,215427.0,0.0,363
4,2049050.0,2049050.0,0.0,3945,3945,0,0.0,0.202734375,0.05955810546875,0.06761669205032855,0.4368890254896961,0.14284400087845572,0,0,0.0,0,0,0,0,25467,8384614.0,8116.0,0.1189453125,259630.0,0.0,486,0.0,152552.0,0.0,346,0.008251953125,213274.0,0.0,469,0.008056640625,307100.0,0.0,446,0.202734375,346794.0,0.0,484,0.07998046875,329747.0,0.0,480,0.056298828125,247946.0,0.0,487,0.002197265625,192007.0,0.0,323
5,2019458.0,2019458.0,0.0,3756,3756,0,0.0,0.23935546875,0.064495849609375,0.07860409297913541,0.4023589321268176,0.19917670979044866,0,0,0.0,0,0,0,0,23516,7843813.0,6355.0,0.10488281249999999,180407.0,0.0,482,0.00048828125,101512.0,0.0,257,0.007568359375,215241.0,0.0,479,0.00029296875,266832.0,0.0,408,0.23935546875,382856.0,0.0,485,0.104736328125,392929.0,0.0,477,0.058203124999999994,245288.0,0.0,479,0.00043945312499999996,234393.0,0.0,386
6,2058497.0,2058497.0,0.0,3793,3793,0,0.0,0.24951171875,0.072314453125,0.08708103557153145,0.40814857014864453,0.1722343413665406,0,0,0.0,0,0,0,0,23999,8271430.0,7371.0,0.116357421875,238951.0,0.0,476,0.0005371093749999999,141888.0,0.0,328,0.0,175524.0,0.0,434,0.002490234375,257914.0,0.0,362,0.24951171875,316913.0,0.0,482,0.153515625,436243.0,0.0,482,0.05595703125,239516.0,0.0,480,0.000146484375,251548.0,0.0,362
7,2250382.0,2250382.0,0.0,4299,4299,0,0.0,0.26728515625,0.09417724609375,0.10388614703869341,0.451098345423957,0.20273258051299736,0,0,0.0,0,0,0,0,24306,8462538.0,8959.0,0.19697265625,383851.0,0.0,483,0.000146484375,125033.0,0.0,326,0.0078125,175257.0,0.0,412,0.00043945312499999996,254902.0,0.0,398,0.26728515625,327704.0,0.0,474,0.2029296875,459081.0,0.0,476,0.076220703125,278488.0,0.0,484,0.0016113281250000001,246066.0,0.0,360
8,2125747.0,2125747.0,0.0,3856,3856,0,0.0,0.30864257812499996,0.100042724609375,0.12022825099699606,0.40912466412422255,0.2512456209511291,0,0,0.0,0,0,0,0,24692,8714418.0,6814.0,0.19096679687499998,297488.0,0.0,478,0.0,119148.0,0.0,251,0.00043945312499999996,167325.0,0.0,432,0.000146484375,245310.0,0.0,410,0.30864257812499996,382083.0,0.0,474,0.247412109375,515694.0,0.0,488,0.052587890625,162665.0,0.0,476,0.000146484375,236034.0,0.0,354
9,2113365.0,1992176.0,121189.0,3901,3690,211,0.05734409342446759,0.4422590821892678,0.11994913332053346,0.1559420487295965,0.3717227231353033,0.24061928488453255,0,0,0.0,0,0,0,0,23790,8353737.0,6592.0,0.206103515625,306919.0,0.0,486,0.000244140625,107291.0,0.0,279,0.003125,189570.0,0.0,424,0.0016113281250000001,247000.0,0.0,403,0.4422590821892678,452999.0,121189.0,482,0.26420898437499996,432003.0,0.0,484,0.04189453125,183326.0,0.0,478,0.000146484375,194257.0,0.0,324
