epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,2306462.0,2292237.0,0.0,4836,4803,0,0.0,0.09814453125,0.036224365234375,0.03503097625867077,0.5167433637287632,0.1482576994548359,0,0,0.0,0,0,0,0,28573,8852230.0,123008.0,0.080078125,346932.0,0.0,479,0.000732421875,177861.0,0.0,416,0.017333984375,259942.0,0.0,476,0.004150390625,280590.0,0.0,425,0.09814453125,440647.0,0.0,487,0.045654296875,312767.0,0.0,479,0.043212890625,287029.0,0.0,485,0.00048828125,200694.0,0.0,369
1,2069206.0,2069206.0,0.0,3937,3937,0,0.0,0.09086914062500001,0.031878662109375004,0.029144362524444314,0.5447178846782588,0.13042756496936492,0,0,0.0,0,0,0,0,25891,8406472.0,7627.0,0.052929687499999996,223845.0,0.0,485,0.0021484375,186076.0,0.0,387,0.0111328125,198972.0,0.0,482,0.000146484375,217192.0,0.0,332,0.09086914062500001,360301.0,0.0,487,0.041552734375,324426.0,0.0,478,0.0427734375,243777.0,0.0,486,0.0134765625,314617.0,0.0,474
2,2242412.0,2242412.0,0.0,4079,4079,0,0.0,0.157666015625,0.042919921875,0.053208056205957845,0.394191233058142,0.17203439867428472,0,0,0.0,0,0,0,0,26752,9036263.0,7607.0,0.08759765625,247442.0,0.0,484,0.0,218148.0,0.0,419,0.0,162286.0,0.0,447,0.000390625,304839.0,0.0,437,0.157666015625,489467.0,0.0,482,0.0556640625,330524.0,0.0,479,0.04189453125,259018.0,0.0,477,0.000146484375,230688.0,0.0,411
3,2116085.0,2116085.0,0.0,4050,4050,0,0.0,0.18979492187500002,0.054608154296875,0.06516906729992547,0.4125126504472861,0.18385514995853192,0,0,0.0,0,0,0,0,26353,8798992.0,6080.0,0.111279296875,266268.0,0.0,480,0.0,148825.0,0.0,361,0.000732421875,152334.0,0.0,372,0.000146484375,280862.0,0.0,429,0.18979492187500002,412112.0,0.0,473,0.08022460937499999,365198.0,0.0,476,0.0546875,275059.0,0.0,481,0.0,215427.0,0.0,363
4,2049050.0,2049050.0,0.0,3945,3945,0,0.0,0.204248046875,0.06016845703125,0.06828232591946716,0.4370857137048346,0.14284400087845572,0,0,0.0,0,0,0,0,26350,8614324.0,8116.0,0.1201171875,259630.0,0.0,480,0.0,152552.0,0.0,346,0.008984375,213274.0,0.0,466,0.00625,307100.0,0.0,454,0.204248046875,346794.0,0.0,485,0.08041992187500001,329747.0,0.0,480,0.059375,247946.0,0.0,481,0.001953125,192007.0,0.0,324
5,2019458.0,2019458.0,0.0,3756,3756,0,0.0,0.239990234375,0.064935302734375,0.07860155646040999,0.40564457779245355,0.19917670979044866,0,0,0.0,0,0,0,0,24925,8233455.0,7181.0,0.10458984375,180407.0,0.0,488,0.00048828125,101512.0,0.0,257,0.0080078125,215241.0,0.0,479,0.00043945312499999996,266832.0,0.0,400,0.239990234375,382856.0,0.0,489,0.1037109375,392929.0,0.0,483,0.061669921875,245288.0,0.0,475,0.0005859375,234393.0,0.0,384
6,2058497.0,2058497.0,0.0,3793,3793,0,0.0,0.250537109375,0.072857666015625,0.08732125020639295,0.41043665958664494,0.1722343413665406,0,0,0.0,0,0,0,0,24240,8373854.0,8049.0,0.115576171875,238951.0,0.0,478,0.00029296875,141888.0,0.0,329,0.0,175524.0,0.0,437,0.002392578125,257914.0,0.0,363,0.250537109375,316913.0,0.0,482,0.154052734375,436243.0,0.0,478,0.060009765624999996,239516.0,0.0,476,0.0,251548.0,0.0,364
7,2250382.0,2250382.0,0.0,4299,4299,0,0.0,0.265625,0.09451904296875,0.10380785233958656,0.45326666047688763,0.20273258051299736,0,0,0.0,0,0,0,0,24290,8417346.0,7740.0,0.197607421875,383851.0,0.0,478,0.000146484375,125033.0,0.0,325,0.00732421875,175257.0,0.0,414,0.00029296875,254902.0,0.0,399,0.265625,327704.0,0.0,485,0.204052734375,459081.0,0.0,472,0.0798828125,278488.0,0.0,484,0.001220703125,246066.0,0.0,361
8,2125747.0,2125747.0,0.0,3856,3856,0,0.0,0.307080078125,0.10081787109374998,0.12038600397864807,0.4122259273647538,0.2512456209511291,0,0,0.0,0,0,0,0,23892,8327072.0,6732.0,0.19184570312500002,297488.0,0.0,475,0.0,119148.0,0.0,251,0.00043945312499999996,167325.0,0.0,430,0.000146484375,245310.0,0.0,409,0.307080078125,382083.0,0.0,478,0.25107421875,515694.0,0.0,476,0.055810546875,162665.0,0.0,479,0.000146484375,236034.0,0.0,352
9,2113365.0,1999063.0,114302.0,3901,3694,207,0.05408530944725589,0.4351946295299145,0.12012198494123931,0.15437435015781723,0.3771305667151267,0.24061928488453255,0,0,0.0,0,0,0,0,23691,8246557.0,6700.0,0.20693359375,306919.0,0.0,485,0.00048828125,107291.0,0.0,278,0.003369140625,189570.0,0.0,423,0.0013671875,247000.0,0.0,404,0.4351946295299145,452999.0,114302.0,479,0.267919921875,432003.0,0.0,479,0.045556640625,183326.0,0.0,475,0.000146484375,194257.0,0.0,324
10,2192741.0,2044082.0,148659.0,4251,3969,282,0.0677959686073275,0.46251685299230005,0.1357320870927875,0.17066035597346335,0.3874647246802168,0.2358680870198533,0,0,0.0,0,0,0,0,23945,8117354.0,6549.0,0.271728515625,381132.0,0.0,486,0.000146484375,105352.0,0.0,295,0.00341796875,191791.0,0.0,470,0.0,207858.0,0.0,372,0.46251685299230005,456953.0,148659.0,484,0.30063476562499997,412439.0,0.0,479,0.047265625,199905.0,0.0,473,0.000146484375,237311.0,0.0,384
11,2140037.0,1884756.0,255281.0,4046,3557,489,0.1192881244576612,0.512657120747646,0.14854304957558637,0.1895001583194818,0.380593450357458,0.22102626029363037,0,0,0.0,0,0,0,0,23561,8059034.0,8008.0,0.25717773437499997,260627.0,0.0,478,0.00087890625,151893.0,0.0,331,0.0005859375,208461.0,0.0,448,0.001220703125,195670.0,0.0,348,0.512657120747646,498180.0,212029.0,483,0.36348024460704487,427479.0,43252.0,478,0.052197265624999996,201910.0,0.0,476,0.000146484375,195817.0,0.0,301
12,2038503.0,1788957.0,249546.0,3900,3409,491,0.12241630255143107,0.4898476769936489,0.15590261297504032,0.1967286122591455,0.38575659921757927,0.24201626144283317,0,0,0.0,0,0,0,0,23381,8024858.0,9528.0,0.3048828125,350200.0,0.0,489,0.000146484375,127001.0,0.0,287,0.000830078125,209140.0,0.0,468,0.000146484375,239294.0,0.0,349,0.4898476769936489,431608.0,164006.0,487,0.41181658618167366,381004.0,85540.0,476,0.03955078125,165032.0,0.0,489,0.0,135224.0,0.0,222
13,2071828.0,1749219.0,322609.0,3939,3339,600,0.15571225024471136,0.47430736174123866,0.16760946151702552,0.20675951320785643,0.39655636070749,0.24231234446102645,0,0,0.0,0,0,0,0,23349,7807514.0,8208.0,0.3629452191026166,318866.0,34288.0,482,0.0,128793.0,0.0,299,0.002685546875,164385.0,0.0,366,0.000146484375,217253.0,0.0,326,0.4561133456673489,389307.0,121476.0,485,0.47430736174123866,479400.0,166845.0,474,0.044677734375,192499.0,0.0,482,0.0,181325.0,0.0,287
14,2024758.0,1809527.0,215231.0,3752,3358,394,0.1062996170406537,0.41522155823655404,0.15526649284706262,0.1873902713246258,0.4070676289613982,0.21109176997942458,0,0,0.0,0,0,0,0,23319,7883178.0,6694.0,0.3979143961916804,313854.0,61431.0,483,0.000732421875,125877.0,0.0,296,0.018994140625,232697.0,0.0,481,0.001123046875,203696.0,0.0,309,0.37640809772326655,336436.0,51610.0,484,0.41522155823655404,443450.0,102190.0,489,0.031494140625,175116.0,0.0,483,0.000244140625,193632.0,0.0,328
15,2170033.0,1844200.0,325833.0,3906,3286,620,0.15015117281626586,0.5218400295630674,0.1640544666726806,0.20875391609871946,0.381800545120216,0.2484565326886734,0,0,0.0,0,0,0,0,23298,8037539.0,6492.0,0.3983913383784834,318916.0,62726.0,474,0.000146484375,97318.0,0.0,231,0.0,152913.0,0.0,441,0.00043945312499999996,301658.0,0.0,445,0.5218400295630674,478976.0,212325.0,479,0.36378639668989404,396243.0,50782.0,481,0.023291015624999998,204691.0,0.0,472,0.004541015625,219318.0,0.0,386
16,2335392.0,1871233.0,464159.0,4307,3424,883,0.19874993148901762,0.5311419505557007,0.1832050260810799,0.23322357312079717,0.3815951060961949,0.2171788504884833,0,0,0.0,0,0,0,0,23460,8075561.0,8524.0,0.48486454571258053,370093.0,137051.0,478,0.001123046875,127522.0,0.0,281,0.001708984375,179014.0,0.0,413,0.00029296875,265953.0,0.0,406,0.5311419505557007,463283.0,214304.0,480,0.4315673061303582,427266.0,112804.0,477,0.014062499999999999,220148.0,0.0,484,0.0008789062499999999,282113.0,0.0,474
17,2269252.0,1871591.0,397661.0,4219,3492,727,0.17523880115562301,0.5099119215273666,0.1773307295078846,0.2255996520876221,0.3819006663149803,0.21034420152543665,0,0,0.0,0,0,0,0,23464,8242372.0,7937.0,0.5099119215273666,370407.0,155361.0,481,0.000146484375,99502.0,0.0,266,0.0,191167.0,0.0,446,0.0005371093749999999,244868.0,0.0,403,0.4771614742612796,408333.0,144602.0,479,0.4132618933994307,430550.0,97698.0,481,0.015771484375,243838.0,0.0,480,0.00185546875,280587.0,0.0,451
18,2294132.0,1890462.0,403670.0,4257,3511,746,0.17595761708567764,0.5064354971848161,0.17316604461629473,0.21954802009367402,0.3835185840760561,0.2286781013472634,0,0,0.0,0,0,0,0,23512,8167595.0,6338.0,0.3917185961527021,302654.0,55518.0,483,0.00087890625,100325.0,0.0,245,0.00048828125,192823.0,0.0,469,0.00166015625,270008.0,0.0,426,0.5064354971848161,487002.0,201069.0,480,0.46393207609283965,448476.0,147083.0,484,0.018505859375,236594.0,0.0,475,0.001708984375,256250.0,0.0,423
19,2518843.0,2005675.0,513168.0,4587,3614,973,0.20373163392875213,0.518139432489169,0.18645416511147175,0.23521044786245865,0.38589742422363754,0.20153007749986807,0,0,0.0,0,0,0,0,23602,8368206.0,7155.0,0.5132532687836839,417663.0,178136.0,483,0.000146484375,165065.0,0.0,324,0.0032226562500000003,201261.0,0.0,455,0.0080078125,296485.0,0.0,466,0.518139432489169,508748.0,221956.0,484,0.43421522899392107,419874.0,113076.0,474,0.014062499999999999,238796.0,0.0,484,0.0005859375,270951.0,0.0,437
20,2439546.0,1925703.0,513843.0,4419,3465,954,0.2106305845431895,0.5366363029400362,0.18309764281172514,0.23728766365934437,0.3732013673262308,0.21712861737388844,0,0,0.0,0,0,0,0,23453,8352539.0,6587.0,0.5366363029400362,428362.0,202732.0,489,0.000390625,174310.0,0.0,301,0.00888671875,194191.0,0.0,432,0.001025390625,281528.0,0.0,485,0.5289953505859206,534431.0,244921.0,479,0.38826081709284443,376217.0,66190.0,479,0.00043945312499999996,206906.0,0.0,490,0.000146484375,243601.0,0.0,404
