epoch,bucket,queue,bytes
0,0,7,3353.0
0,1,0,3321.0
0,2,5,2193.0
0,3,3,5963.0
0,4,7,1869.0
0,5,2,752.0
0,6,3,3125.0
0,7,3,4872.0
0,8,2,701.0
0,9,1,1573.0
0,10,7,1751.0
0,11,4,6928.0
0,12,7,2608.0
0,13,0,3586.0
0,14,4,6041.0
0,15,2,3985.0
0,16,2,4501.0
0,17,4,1342.0
0,18,5,245.0
0,19,7,891.0
0,20,4,5118.0
0,21,4,392.0
0,22,7,5060.0
0,23,6,4365.0
0,24,2,1529.0
0,25,0,2713.0
0,26,4,7447.0
0,27,1,5130.0
0,28,7,1682.0
0,29,1,2666.0
0,30,2,2121.0
0,31,5,1000.0
0,32,2,1003.0
0,33,4,471.0
0,34,7,5539.0
0,35,7,4474.0
0,36,1,3712.0
0,37,7,2436.0
0,38,2,2318.0
0,39,2,224.0
0,40,1,2741.0
0,41,1,1740.0
0,42,7,320.0
0,43,0,1317.0
0,44,7,3942.0
0,45,2,1962.0
0,46,0,2807.0
0,47,7,1316.0
0,48,2,366.0
0,49,3,5703.0
0,50,6,1022.0
0,51,0,5561.0
0,52,5,5687.0
0,53,1,451.0
0,54,3,3350.0
0,55,3,3894.0
0,56,1,2196.0
0,57,2,1525.0
0,58,0,1229.0
0,59,7,2969.0
0,60,4,751.0
0,61,7,1719.0
0,62,4,3015.0
0,63,7,1163.0
0,64,1,1838.0
0,65,2,648.0
0,66,0,5227.0
0,67,6,1520.0
0,68,2,1083.0
0,69,3,329.0
0,70,0,4501.0
0,71,1,547.0
0,72,4,527.0
0,73,4,4220.0
0,74,5,2162.0
0,75,3,2414.0
0,76,4,1508.0
0,77,5,6418.0
0,78,1,1802.0
0,79,1,8820.0
0,80,4,2613.0
0,81,3,3802.0
0,82,5,2326.0
0,83,0,1150.0
0,84,6,1067.0
0,85,7,4930.0
0,86,4,2256.0
0,87,6,5137.0
0,88,6,380.0
0,89,6,5581.0
0,90,7,2874.0
0,91,0,3827.0
0,92,2,1714.0
0,93,3,5990.0
0,94,6,1408.0
0,95,0,647.0
0,96,0,2521.0
0,97,5,4107.0
0,98,0,1250.0
0,99,6,2311.0
0,100,3,753.0
0,101,5,1469.0
0,102,3,1726.0
0,103,3,663.0
0,104,7,2715.0
0,105,7,555.0
0,106,5,1879.0
0,107,1,478.0
0,108,4,4227.0
0,109,0,2272.0
0,110,7,1382.0
0,111,4,1954.0
0,112,2,333.0
0,113,0,1701.0
0,114,6,4610.0
0,115,0,825.0
0,116,3,1271.0
0,117,1,1204.0
0,118,3,3224.0
0,119,3,1401.0
0,120,1,2097.0
0,121,1,1539.0
0,122,5,284.0
0,123,6,1887.0
0,124,1,3398.0
0,125,7,6489.0
0,126,5,4359.0
0,127,1,3479.0
1,0,7,450.0
1,1,0,558.0
1,2,5,766.0
1,3,3,703.0
1,4,7,708.0
1,5,2,4417.0
1,6,3,2336.0
1,7,3,4383.0
1,8,2,408.0
1,9,1,150.0
1,10,7,2016.0
1,11,4,6147.0
1,12,7,1583.0
1,13,0,2824.0
1,14,4,3664.0
1,15,2,1342.0
1,16,2,2680.0
1,17,4,227.0
1,18,5,391.0
1,19,7,1185.0
1,20,4,919.0
1,21,4,2123.0
1,22,7,1878.0
1,23,6,1873.0
1,24,2,241.0
1,25,0,1577.0
1,26,4,4775.0
1,27,1,7119.0
1,28,7,160.0
1,29,1,91.0
1,30,2,848.0
1,31,5,1180.0
1,32,2,416.0
1,33,4,883.0
1,34,7,6525.0
1,35,7,128.0
1,36,1,2884.0
1,37,7,2305.0
1,38,2,2938.0
1,39,2,137.0
1,40,1,789.0
1,41,1,206.0
1,42,7,1513.0
1,43,0,0.0
1,44,7,1678.0
1,45,2,2035.0
1,46,0,2023.0
1,47,7,675.0
1,48,2,343.0
1,49,3,1870.0
1,50,6,2011.0
1,51,0,2949.0
1,52,5,2510.0
1,53,1,64.0
1,54,3,534.0
1,55,3,2288.0
1,56,1,339.0
1,57,2,2055.0
1,58,0,866.0
1,59,7,258.0
1,60,4,859.0
1,61,7,1663.0
1,62,4,433.0
1,63,7,976.0
1,64,1,1425.0
1,65,2,1529.0
1,66,0,6921.0
1,67,6,2837.0
1,68,2,347.0
1,69,3,910.0
1,70,0,656.0
1,71,1,562.0
1,72,4,1168.0
1,73,4,5589.0
1,74,5,2909.0
1,75,3,3483.0
1,76,4,331.0
1,77,5,964.0
1,78,1,800.0
1,79,1,192.0
1,80,4,128.0
1,81,3,1641.0
1,82,5,4261.0
1,83,0,2006.0
1,84,6,1384.0
1,85,7,2703.0
1,86,4,2367.0
1,87,6,5594.0
1,88,6,2218.0
1,89,6,1228.0
1,90,7,1206.0
1,91,0,2138.0
1,92,2,1426.0
1,93,3,1461.0
1,94,6,472.0
1,95,0,1822.0
1,96,0,2122.0
1,97,5,743.0
1,98,0,64.0
1,99,6,1141.0
1,100,3,847.0
1,101,5,2020.0
1,102,3,1631.0
1,103,3,1486.0
1,104,7,1214.0
1,105,7,136.0
1,106,5,592.0
1,107,1,241.0
1,108,4,1226.0
1,109,0,3191.0
1,110,7,3970.0
1,111,4,757.0
1,112,2,539.0
1,113,0,1232.0
1,114,6,82.0
1,115,0,311.0
1,116,3,1473.0
1,117,1,720.0
1,118,3,1436.0
1,119,3,229.0
1,120,1,3494.0
1,121,1,635.0
1,122,5,169.0
1,123,6,370.0
1,124,1,306.0
1,125,7,704.0
1,126,5,3819.0
1,127,1,64.0
2,0,7,3995.0
2,1,0,2277.0
2,2,5,584.0
2,3,3,8488.0
2,4,7,169.0
2,5,2,5846.0
2,6,3,546.0
2,7,3,4265.0
2,8,2,344.0
2,9,1,128.0
2,10,7,4943.0
2,11,4,2251.0
2,12,7,1157.0
2,13,0,2825.0
2,14,4,767.0
2,15,2,5285.0
2,16,2,1620.0
2,17,4,852.0
2,18,5,367.0
2,19,7,678.0
2,20,4,642.0
2,21,4,192.0
2,22,7,3021.0
2,23,6,256.0
2,24,2,64.0
2,25,0,128.0
2,26,4,3262.0
2,27,1,3295.0
2,28,7,4340.0
2,29,1,128.0
2,30,2,741.0
2,31,5,1240.0
2,32,2,130.0
2,33,4,4565.0
2,34,7,8847.0
2,35,7,259.0
2,36,1,3254.0
2,37,7,2784.0
2,38,2,1361.0
2,39,2,194.0
2,40,1,2370.0
2,41,1,3311.0
2,42,7,179.0
2,43,0,0.0
2,44,7,256.0
2,45,2,837.0
2,46,0,1428.0
2,47,7,1751.0
2,48,2,128.0
2,49,3,3767.0
2,50,6,6005.0
2,51,0,2098.0
2,52,5,1789.0
2,53,1,269.0
2,54,3,2049.0
2,55,3,1571.0
2,56,1,2268.0
2,57,2,1082.0
2,58,0,1889.0
2,59,7,289.0
2,60,4,682.0
2,61,7,320.0
2,62,4,1164.0
2,63,7,1054.0
2,64,1,2483.0
2,65,2,64.0
2,66,0,5897.0
2,67,6,1634.0
2,68,2,2021.0
2,69,3,128.0
2,70,0,170.0
2,71,1,313.0
2,72,4,621.0
2,73,4,4016.0
2,74,5,1447.0
2,75,3,2577.0
2,76,4,182.0
2,77,5,4123.0
2,78,1,1978.0
2,79,1,1042.0
2,80,4,160.0
2,81,3,323.0
2,82,5,2128.0
2,83,0,2717.0
2,84,6,532.0
2,85,7,2074.0
2,86,4,4515.0
2,87,6,1750.0
2,88,6,868.0
2,89,6,646.0
2,90,7,7120.0
2,91,0,2467.0
2,92,2,219.0
2,93,3,2243.0
2,94,6,69.0
