epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,100500.0,100500.0,0.0,67,67,0,0.0,0.000244140625,0.0001220703125,0.0001220703125,0.5038317827556358,0.17723880597014752,67,959.0110950376834,945.4767546874318,1455.2552648904555,1549.6994154887811,1598.353883008391,1603.7599349550146,0,0.002025,0,0.000244140625,16500.0,0.0,10,0.0,13500.0,0.0,9,0.000244140625,12000.0,0.0,7,0.0,9000.0,0.0,6,0.0,7500.0,0.0,5,0.000244140625,7500.0,0.0,4,0.000244140625,16500.0,0.0,10,0.0,18000.0,0.0,12
1,75000.0,75000.0,0.0,50,50,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.21999999999999775,50,961.9255688823326,911.454068149098,1664.5801011685053,1837.1781704462844,1843.364412648773,1844.0517728934938,0,0.0339539069870283,0,0.0,18000.0,0.0,13,0.0,9000.0,0.0,6,0.0,7500.0,0.0,6,0.0,3000.0,0.0,2,0.0,7500.0,0.0,5,0.0,9000.0,0.0,7,0.0,9000.0,0.0,7,0.0,12000.0,0.0,8
2,103500.0,103500.0,0.0,69,69,0,0.0,0.000244140625,6.103515625e-05,0.0001057159916729051,0.2559005376780183,0.13949275362318692,69,1135.4065665142914,1016.0745908233002,2398.5294990132097,2841.325134098877,2991.9525530167816,3008.688932896548,0,0.11367272580645162,0,0.0,15000.0,0.0,10,0.0,12000.0,0.0,8,0.0,13500.0,0.0,9,0.0,10500.0,0.0,7,0.0,13500.0,0.0,9,0.0,6000.0,0.0,4,0.000244140625,15000.0,0.0,9,0.000244140625,18000.0,0.0,11
3,120000.0,120000.0,0.0,80,80,0,0.0,0.000244140625,3.0517578125e-05,8.074192233473482e-05,0.1319784818902607,0.1281249999999987,80,2047.474141078656,1317.8055283512585,5588.617560707862,6069.422636578344,6115.688079847731,6120.82868465544,0,0.13924959911576867,0,0.0,18000.0,0.0,12,0.000244140625,13500.0,0.0,8,0.0,15000.0,0.0,10,0.0,13500.0,0.0,9,0.0,9000.0,0.0,6,0.0,15000.0,0.0,10,0.0,13500.0,0.0,10,0.0,22500.0,0.0,16
4,135000.0,135000.0,0.0,90,90,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.11944444444444335,90,3621.45828485505,2903.6214467437894,8439.642179166312,8991.303221315078,9269.98616164458,9300.9509327923,0,0.11292865693471967,0,0.0,19500.0,0.0,13,0.0,21000.0,0.0,15,0.0,16500.0,0.0,11,0.0,10500.0,0.0,7,0.0,16500.0,0.0,11,0.0,12000.0,0.0,8,0.0,18000.0,0.0,12,0.0,21000.0,0.0,14
5,252000.0,252000.0,0.0,168,168,0,0.0,0.0029296875,0.002044677734375,0.0007998866224414768,0.8672692136083989,0.13095238095238027,168,9930.700586954305,9679.586437908147,21348.492887588982,22582.50286452768,22863.448859311597,22896.557068794384,0,0.19164400543961246,0,0.002685546875,40500.0,0.0,16,0.0029296875,33000.0,0.0,10,0.001953125,30000.0,0.0,12,0.001220703125,25500.0,0.0,12,0.00048828125,19500.0,0.0,11,0.001953125,27000.0,0.0,10,0.002197265625,33000.0,0.0,13,0.0029296875,43500.0,0.0,17
6,105000.0,105000.0,0.0,70,70,0,0.0,0.000146484375,3.662109375e-05,6.342959500374306e-05,0.25955256787251896,0.09999999999999853,70,5860.11640350736,4416.742861192426,12896.615401357169,13052.192483735907,13198.634162151267,13214.905459752976,0,0.0,0,0.0,13500.0,0.0,20,0.000146484375,13500.0,0.0,20,0.000146484375,15000.0,0.0,17,0.0,10500.0,0.0,12,0.0,12000.0,0.0,10,0.0,9000.0,0.0,14,0.0,15000.0,0.0,19,0.0,16500.0,0.0,23
7,91500.0,91500.0,0.0,61,61,0,0.0,0.00048828125,0.000201416015625,0.00019136249275623636,0.5274287094439174,0.2069672131147522,61,944.3968857049954,922.7254774671455,1486.1125800317677,1643.4909056258095,1656.8441564868967,1658.3278510270175,0,0.0,0,0.00048828125,18000.0,0.0,10,0.000146484375,9000.0,0.0,6,0.0,9000.0,0.0,7,0.000244140625,6000.0,0.0,3,0.0,10500.0,0.0,7,0.0,7500.0,0.0,5,0.000244140625,13500.0,0.0,8,0.00048828125,18000.0,0.0,10
8,306000.0,298500.0,0.0,204,199,0,0.0,0.00380859375,0.002691650390625,0.0007052400355536051,0.9357587258667737,0.10539215686274472,199,16153.101326482323,17365.402545626916,29719.495044383664,31245.36776584374,31418.32156371952,31457.67817761842,0,0.2535885608959375,0,0.0017578125,33000.0,0.0,13,0.0033203125000000003,46500.0,0.0,17,0.003173828125,34500.0,0.0,10,0.00380859375,49500.0,0.0,18,0.001708984375,27000.0,0.0,11,0.002197265625,34500.0,0.0,14,0.00283203125,45000.0,0.0,18,0.002734375,36000.0,0.0,14
9,88500.0,88500.0,0.0,59,59,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.2055084745762692,59,9363.635266872838,10514.703694608063,16090.992556259553,16247.37302155542,16261.650084414257,16263.236424731906,0,0.0,0,0.0,16500.0,0.0,19,0.0,12000.0,0.0,22,0.0,9000.0,0.0,19,0.0,4500.0,0.0,19,0.0,9000.0,0.0,13,0.0,7500.0,0.0,14,0.0,13500.0,0.0,21,0.0,16500.0,0.0,23
10,141000.0,141000.0,0.0,94,94,0,0.0,0.00048828125,0.0001220703125,0.00017263349150062197,0.33663303655471477,0.18882978723404142,94,2001.1274492634118,1277.4321273815294,5384.233599904317,6063.469724178612,6249.800784098596,6270.504235200817,0,0.051462607898664504,0,0.000244140625,28500.0,0.0,18,0.0,16500.0,0.0,11,0.0,18000.0,0.0,12,0.0,12000.0,0.0,8,0.00048828125,9000.0,0.0,4,0.0,13500.0,0.0,9,0.0,21000.0,0.0,14,0.000244140625,22500.0,0.0,14
