epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,28500.0,28500.0,0.0,19,19,0,0.0,0.000244140625,3.0517578125e-05,8.074192233473482e-05,0.1319784818902607,0.8618421052631493,19,591.3751281379048,609.7392236985725,664.1378294543066,682.3070476956881,686.3951217999988,686.8493522560334,0,0.0014964843749999998,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1500.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.000244140625,27000.0,0.0,17
1,27000.0,27000.0,0.0,18,18,0,0.0,0.000146484375,1.8310546875e-05,4.844515340084089e-05,0.13639307048725063,0.8749999999999909,18,592.0724915727292,606.1371823258341,668.310107870213,678.7884632140477,681.1460931664107,681.4080520500065,0,0.0014789062499999995,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.000146484375,27000.0,0.0,18
2,28500.0,28500.0,0.0,19,19,0,0.0,0.000146484375,1.8310546875e-05,4.844515340084089e-05,0.13639307048725063,0.8618421052631493,19,595.1376189997662,592.7868957281535,703.0443698848786,733.572736848692,740.44161941555,741.2048285896453,0,0.06663344620253164,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1500.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.000146484375,27000.0,0.0,18
3,27000.0,27000.0,0.0,18,18,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.8611111111111021,18,581.8518549871192,594.3993335592095,620.8342384765884,651.5804967782233,658.4984048960912,659.267061353632,0,0.04327516063892146,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1500.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,25500.0,0.0,18
4,28500.0,28500.0,0.0,19,19,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.8618421052631493,19,590.4039289288622,595.0366683756874,678.6943175850275,713.1118780960786,720.855829211065,721.7162682238413,0,0.028877580417177556,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1500.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,27000.0,0.0,18
5,27000.0,27000.0,0.0,18,18,0,0.0,0.000244140625,3.0517578125e-05,8.074192233473482e-05,0.1319784818902607,0.8749999999999909,18,598.128457882149,603.4690354098275,674.4525314976869,684.4464093626698,686.695031882291,686.9448788289155,0,0.0034924172152329958,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.000244140625,27000.0,0.0,17
6,28500.0,28500.0,0.0,19,19,0,0.0,0.000146484375,1.8310546875e-05,4.844515340084089e-05,0.13639307048725063,0.8618421052631493,19,560.4840700152502,561.2358323968074,639.5156032094469,665.58225557703,671.4472523597361,672.0989186689258,0,0.08819655486010179,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1500.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.000146484375,27000.0,0.0,18
7,28500.0,28500.0,0.0,19,19,0,0.0,0.000146484375,1.8310546875e-05,4.844515340084089e-05,0.13639307048725063,0.8618421052631493,19,614.2595635295346,624.8491906780691,666.7689951633452,682.6645002833498,686.2409889353507,686.6383765633509,0,0.05591760190434236,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1500.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.000146484375,27000.0,0.0,18
8,27000.0,27000.0,0.0,18,18,0,0.0,0.000146484375,1.8310546875e-05,4.844515340084089e-05,0.13639307048725063,0.8749999999999909,18,584.439693187766,569.8027310100297,660.622873152251,684.3773601613228,689.7221197383641,690.3159819135908,0,0.002138794250677491,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.000146484375,27000.0,0.0,18
9,27000.0,27000.0,0.0,18,18,0,0.0,0.0,0.0,0.0,0.06015037593984962,0.8611111111111021,18,558.1486113925089,563.9305690096808,632.4740939106879,643.5043792740738,645.9861934808357,646.2619506149204,0,0.10695614916035397,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1500.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,25500.0,0.0,18
