epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,466453.0,466453.0,0.0,341,341,0,0.0,0.014892578125,0.00341796875,0.005470057739845722,0.28080218680428587,0.3542524648785619,0,0,0.0,0,0,0,0.000244140625,30128.0,0.0,20,0.000244140625,30128.0,0.0,20,0.000244140625,27384.0,0.0,20,0.000732421875,56140.0,0.0,39,0.010498046875,119399.0,0.0,43,0.000244140625,32110.0,0.0,23,0.000244140625,30128.0,0.0,20,0.014892578125,141036.0,0.0,44
1,468113.0,468113.0,0.0,342,342,0,0.0,0.023095703125,0.005133056640624999,0.008358579134266483,0.2738503183993247,0.3547548882427958,0,0,0.0,0,0,0,0.000390625,30128.0,0.0,20,0.000390625,28756.0,0.0,20,0.000390625,31500.0,0.0,20,0.00068359375,56140.0,0.0,41,0.01533203125,121434.0,0.0,50,0.000390625,28756.0,0.0,20,0.000390625,30363.0,0.0,23,0.023095703125,141036.0,0.0,47
2,467015.0,467015.0,0.0,343,343,0,0.0,0.030615234375,0.00657958984375,0.011138854144198886,0.2586620816096211,0.34188489663072885,0,0,0.0,0,0,0,0.00029296875,29795.0,0.0,23,0.000146484375,28628.0,0.0,21,0.00029296875,30128.0,0.0,21,0.0005859375,58884.0,0.0,42,0.02001953125,112024.0,0.0,48,0.000146484375,33082.0,0.0,26,0.0005371093749999999,34655.0,0.0,26,0.030615234375,139819.0,0.0,49
3,456338.0,456338.0,0.0,339,339,0,0.0,0.039013671875,0.0081787109375,0.014250013752980873,0.24778761581689066,0.368063803584185,0,0,0.0,0,0,0,0.000146484375,29327.0,0.0,23,0.000146484375,28756.0,0.0,21,0.000146484375,25884.0,0.0,21,0.00043945312499999996,58416.0,0.0,42,0.025244140624999998,115282.0,0.0,49,0.000146484375,26012.0,0.0,21,0.000146484375,31625.0,0.0,27,0.039013671875,141036.0,0.0,49
4,462458.0,462458.0,0.0,348,348,0,0.0,0.04697265625,0.010089111328125,0.017511094825278205,0.2492238818771601,0.358314160421054,0,0,0.0,0,0,0,0.000146484375,30471.0,0.0,25,0.000146484375,26012.0,0.0,21,0.000146484375,28756.0,0.0,21,0.00043945312499999996,61918.0,0.0,43,0.032568359375,117251.0,0.0,46,0.000146484375,30128.0,0.0,21,0.000146484375,29630.0,0.0,22,0.04697265625,138292.0,0.0,50
5,454334.0,454334.0,0.0,341,341,0,0.0,0.055517578125,0.011871337890625,0.02067766513454353,0.24789801793137084,0.37644552245704666,0,0,0.0,0,0,0,0.000146484375,26815.0,0.0,23,0.000146484375,27384.0,0.0,21,0.000146484375,27384.0,0.0,21,0.00043945312499999996,57512.0,0.0,42,0.03828125,116691.0,0.0,46,0.000146484375,31500.0,0.0,21,0.000146484375,24640.0,0.0,21,0.055517578125,142408.0,0.0,48
6,484206.0,484206.0,0.0,349,349,0,0.0,0.06411132812499999,0.013513183593749999,0.023618693902786148,0.24661545668936213,0.3762319136896277,0,0,0.0,0,0,0,0.000390625,31016.0,0.0,25,0.000146484375,26012.0,0.0,21,0.000146484375,27384.0,0.0,21,0.00043945312499999996,63000.0,0.0,42,0.042578124999999994,119140.0,0.0,50,0.000146484375,32353.0,0.0,25,0.000146484375,30675.0,0.0,23,0.06411132812499999,154626.0,0.0,49
7,461502.0,461502.0,0.0,353,353,0,0.0,0.07285156250000001,0.015734863281250004,0.027103884248095372,0.25207115577276235,0.37572968264492856,0,0,0.0,0,0,0,0.0005371093749999999,27609.0,0.0,25,0.000390625,27384.0,0.0,20,0.000390625,30128.0,0.0,20,0.00068359375,53396.0,0.0,41,0.05048828125,118139.0,0.0,46,0.000146484375,33795.0,0.0,23,0.000390625,24640.0,0.0,20,0.07285156250000001,146411.0,0.0,48
8,441823.0,441823.0,0.0,334,334,0,0.0,0.08173828125,0.017138671875,0.0301109135249022,0.24469658395086738,0.36684118979772395,0,0,0.0,0,0,0,0.000146484375,30128.0,0.0,23,0.000146484375,23140.0,0.0,21,0.000146484375,29057.0,0.0,22,0.00043945312499999996,56012.0,0.0,42,0.054052734374999994,111563.0,0.0,49,0.000146484375,27256.0,0.0,20,0.00029296875,28470.0,0.0,23,0.08173828125,136197.0,0.0,46
9,449433.0,449433.0,0.0,335,335,0,0.0,0.0890625,0.01871337890625,0.03294927835600413,0.24389152431476555,0.3471888468359017,0,0,0.0,0,0,0,0.000146484375,29037.0,0.0,22,0.000146484375,28756.0,0.0,21,0.000146484375,30794.0,0.0,22,0.00029296875,50524.0,0.0,42,0.059619140625,116396.0,0.0,48,0.000146484375,28756.0,0.0,21,0.000146484375,30006.0,0.0,23,0.0890625,135164.0,0.0,48
