epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,887950.0,887950.0,0.0,5872,5872,0,0.0,0.155517578125,0.101043701171875,0.03223128717641145,0.9076464628103215,0.10428346190663862,0,0.096020746875,0.107666015625,130969.0,0.0,316,0.131103515625,102410.0,0.0,317,0.155517578125,120742.0,0.0,321,0.0732421875,81472.0,0.0,325,0.06005859375,96192.0,0.0,319,0.096923828125,109224.0,0.0,322,0.062255859375,96067.0,0.0,320,0.12158203125,150874.0,0.0,321
1,699580.0,699580.0,0.0,3833,3833,0,0.0,0.143701171875,0.097869873046875,0.04183167007508374,0.8455308312949052,0.14063902627290648,0,0.057509737391133346,0.143701171875,118533.0,0.0,333,0.115283203125,65252.0,0.0,336,0.139208984375,84426.0,0.0,334,0.099609375,73496.0,0.0,335,0.016259765625,67810.0,0.0,332,0.05361328125,68172.0,0.0,337,0.08447265625,92349.0,0.0,338,0.130810546875,129542.0,0.0,334
2,651451.0,651451.0,0.0,3882,3882,0,0.0,0.18359375,0.11876220703125,0.05353011749503747,0.8311441121191193,0.12989829626479943,0,0.06324952092841844,0.18359375,111315.0,0.0,334,0.16484375,72872.0,0.0,334,0.173095703125,74862.0,0.0,333,0.074560546875,49607.0,0.0,337,0.027001953125,70763.0,0.0,335,0.08852539062499999,81908.0,0.0,335,0.084912109375,76941.0,0.0,333,0.153564453125,113183.0,0.0,336
3,716585.0,716585.0,0.0,4245,4245,0,0.0,0.224560546875,0.152252197265625,0.056936077174991565,0.8773120173496559,0.12126457433521476,0,0.09730875842182408,0.20942382812500002,108619.0,0.0,326,0.184326171875,68104.0,0.0,335,0.17685546875,71579.0,0.0,334,0.140478515625,78271.0,0.0,334,0.04052734375,81758.0,0.0,333,0.14560546875,95202.0,0.0,334,0.096240234375,79652.0,0.0,332,0.224560546875,133400.0,0.0,330
4,713852.0,713852.0,0.0,4155,4155,0,0.0,0.274072265625,0.178302001953125,0.07431572426321374,0.8519921978808161,0.13400011486974872,0,0.1333653543599446,0.274072265625,128190.0,0.0,339,0.22412109375,70824.0,0.0,336,0.20776367187499997,81337.0,0.0,338,0.16708984375000002,69638.0,0.0,338,0.0251953125,67087.0,0.0,335,0.144775390625,81835.0,0.0,339,0.132568359375,88506.0,0.0,331,0.25083007812499997,126435.0,0.0,333
5,729446.0,729446.0,0.0,4255,4255,0,0.0,0.345166015625,0.20872802734375,0.10168978637652429,0.8081773779816694,0.14942093040471782,0,0.17279406975009953,0.307861328125,116316.0,0.0,333,0.304248046875,89732.0,0.0,332,0.21220703124999998,70321.0,0.0,331,0.203271484375,71313.0,0.0,331,0.025927734375,79073.0,0.0,332,0.15791015625,74296.0,0.0,331,0.11323242187499999,73355.0,0.0,333,0.345166015625,155040.0,0.0,331
6,674535.0,600464.0,74071.0,3852,3399,453,0.10981046202198534,0.4917710440923051,0.25497422973298056,0.1530252842493226,0.7351904379735121,0.12466495437597724,0,0.21150448295438987,0.300537109375,100299.0,0.0,333,0.47731966877153914,97925.0,29937.0,331,0.24541015624999998,73914.0,0.0,331,0.182763671875,53036.0,0.0,332,0.023876953125,71794.0,0.0,335,0.195361328125,89131.0,0.0,325,0.12275390625,72659.0,0.0,328,0.4917710440923051,115777.0,44134.0,335
7,743410.0,551187.0,192223.0,4606,3501,1105,0.2585692955435086,0.6045471594639393,0.33257422760018107,0.2053316735125324,0.7240164736957625,0.13405792227707436,0,0.25331038327700295,0.6045471594639393,139558.0,83682.0,338,0.5742627172647689,87192.0,47810.0,336,0.327197265625,98284.0,0.0,335,0.22353515624999998,66886.0,0.0,334,0.063671875,87362.0,0.0,329,0.18798828124999997,79237.0,0.0,336,0.116455078125,69319.0,0.0,340,0.5629362878227402,115572.0,60731.0,333
8,712847.0,474666.0,238181.0,4287,3029,1258,0.3341263973896217,0.6359315518360784,0.3529788945653565,0.21342012810755767,0.7322937083465088,0.1849360732387173,0,0.3036354112866745,0.6359315518360784,135152.0,91160.0,335,0.5088476433483984,77207.0,32249.0,336,0.41934770796186166,77956.0,17344.0,337,0.22050781249999998,51478.0,0.0,328,0.0609375,72578.0,0.0,332,0.22978515624999998,88395.0,0.0,337,0.11279296875,64961.0,0.0,338,0.6356808158765137,145120.0,97428.0,336
9,698162.0,497799.0,200363.0,4063,2974,1089,0.28698640143691534,0.6615413700920049,0.34846422249635983,0.19938538681732249,0.7533560182590313,0.1575461712324644,0,0.33912648474172913,0.4324386792537349,100267.0,26627.0,334,0.482936317651449,65194.0,23910.0,339,0.5433169442236898,83836.0,40822.0,336,0.232861328125,58404.0,0.0,336,0.05419921875,74015.0,0.0,333,0.24882812499999998,90517.0,0.0,338,0.131591796875,75180.0,0.0,335,0.6615413700920049,150749.0,109004.0,329
