epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,176457.0,176457.0,0.0,132,132,0,0.0,0.00146484375,0.001068115234375,0.0003848120182165067,0.8851048774597458,0.18895467450993642,0,0,0.0,0,0,0,0,5343,990175.0,213186.0,0.0009765625,22628.0,0.0,12,0.00146484375,22695.0,0.0,12,0.001220703125,18512.0,0.0,11,0.00048828125,12000.0,0.0,6,0.0009765625,22628.0,0.0,12,0.00048828125,12000.0,0.0,6,0.00146484375,34110.0,0.0,20,0.00146484375,31884.0,0.0,18
1,180139.0,159139.0,21000.0,144,130,14,0.11657664359189229,0.12427015694736143,0.065229529676233,0.03246970615989012,0.8014226021330658,0.19213288071988766,0,0,0.0,0,0,0,14,4499,864903.0,262070.0,0.07602347521876505,19884.0,3000.0,14,0.0377110235908053,20282.0,1500.0,17,0.09987378227472161,22628.0,4500.0,15,0.06279296874999479,12000.0,1500.0,7,0.028840775412676475,28253.0,1500.0,17,0.12427015694736143,12099.0,3000.0,10,0.06637637479472203,34481.0,4500.0,22,0.025947680420817232,30512.0,1500.0,21
2,165772.0,132772.0,33000.0,125,103,22,0.19906860024612,0.1530269062308927,0.10597110889058023,0.02703318186771225,0.9389003285473396,0.18459993243732264,0,0,0.0,0,0,0,22,4355,767720.0,262141.0,0.07172154017856802,21000.0,3000.0,14,0.10105927857349734,22394.0,4500.0,14,0.07686089188594984,19628.0,3000.0,12,0.14315011160712926,10500.0,3000.0,5,0.09299386571941406,24426.0,4500.0,22,0.1530269062308927,9821.0,3000.0,7,0.10850222463564636,27875.0,6000.0,21,0.10045405229354423,30128.0,6000.0,19
3,180851.0,138851.0,42000.0,141,113,28,0.23223537608307265,0.15953940333238956,0.11606779877318178,0.03169200732189727,0.9306179049277877,0.21142888344548738,0,0,0.0,0,0,0,28,4484,806202.0,262130.0,0.1416737296233938,21256.0,6000.0,11,0.05927014503515778,25775.0,3000.0,16,0.08146797516475363,18512.0,3000.0,14,0.12529296874998958,12000.0,3000.0,6,0.09687394219290385,23403.0,4500.0,17,0.13898395197957805,10804.0,3000.0,8,0.12544027410728803,36042.0,9000.0,23,0.15953940333238956,33059.0,10500.0,20
4,174246.0,126796.0,47450.0,138,105,33,0.27231615072942694,0.18670241207222518,0.1386392088449534,0.040030798296358264,0.9230446082869946,0.20188411785636307,0,0,0.0,0,0,0,33,4621,794695.0,262133.0,0.0714960444991969,21256.0,3000.0,12,0.09704508140065624,23397.0,4500.0,15,0.16640747566620268,22628.0,7500.0,10,0.12529296874998958,12000.0,3000.0,6,0.16153877831763178,18639.0,6000.0,17,0.18670241207222518,10257.0,3822.0,6,0.11478298720863737,33614.0,7628.0,16,0.1858479228450875,32455.0,12000.0,16
5,181100.0,181100.0,0.0,137,137,0,0.0,0.001611328125,0.0009765625,0.00033563786828289845,0.8943412830519115,0.2082164549972383,0,0,0.0,0,0,0,0,3357,784980.0,261585.0,0.0005859375,19884.0,0.0,17,0.0008789062499999999,21601.0,0.0,17,0.0010742187499999999,22628.0,0.0,14,0.0005371093749999999,12000.0,0.0,7,0.0010742187499999999,24661.0,0.0,15,0.00078125,10828.0,0.0,7,0.00126953125,32192.0,0.0,24,0.001611328125,37306.0,0.0,26
6,186734.0,186734.0,0.0,152,152,0,0.0,0.0011230468750000001,0.00067138671875,0.0002726844226524497,0.8583740048132671,0.1965857851275068,0,0,0.0,0,0,0,0,3071,714421.0,224453.0,0.0005859375,19884.0,0.0,16,0.000732421875,22377.0,0.0,22,0.0005859375,22628.0,0.0,18,0.00029296875,12000.0,0.0,9,0.0011230468750000001,27593.0,0.0,26,0.00029296875,12770.0,0.0,12,0.0008789062499999999,35368.0,0.0,30,0.0008789062499999999,34114.0,0.0,29
7,166556.0,166556.0,0.0,129,129,0,0.0,0.00043945312499999996,0.00010986328125,0.0001418328862136505,0.3782316117030702,0.22302859098441274,0,0,0.0,0,0,0,0,3431,713581.0,123481.0,0.00043945312499999996,24559.0,0.0,21,0.000146484375,19850.0,0.0,20,0.000146484375,21128.0,0.0,18,0.0,9128.0,0.0,9,0.0,21221.0,0.0,22,0.0,7756.0,0.0,9,0.000146484375,34158.0,0.0,33,0.0,28756.0,0.0,27
8,173944.0,173944.0,0.0,145,145,0,0.0,0.000244140625,4.8828125e-05,8.802615418613256e-05,0.2421864825853599,0.20736990065768213,0,0,0.0,0,0,0,0,2989,632421.0,58701.0,0.0,20030.0,0.0,24,0.000146484375,21591.0,0.0,18,0.0,19756.0,0.0,16,0.0,10628.0,0.0,8,0.000244140625,24448.0,0.0,17,0.0,11174.0,0.0,9,0.0,35805.0,0.0,33,0.0,30512.0,0.0,24
9,191122.0,191122.0,0.0,161,161,0,0.0,0.000244140625,0.00010986328125,0.00011385960758165058,0.4862282231302699,0.21618259541026075,0,0,0.0,0,0,0,0,3037,727620.0,57416.0,0.000244140625,23739.0,0.0,22,0.000146484375,25464.0,0.0,22,0.000244140625,23300.0,0.0,17,0.0,9256.0,0.0,8,0.0,22239.0,0.0,19,0.0,12969.0,0.0,14,0.0,34512.0,0.0,25,0.000244140625,39643.0,0.0,32
