epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,813718.0,813718.0,0.0,5211,5211,0,0.0,0.18310546875,0.08123779296875,0.05068605009091346,0.7197979665873075,0.17519490781818736,0,0.11494708125,0,0.18310546875,174397.0,0.0,325,0.078125,128060.0,0.0,328,0.066162109375,87491.0,0.0,329,0.099365234375,101485.0,0.0,332,0.00732421875,66068.0,0.0,258,0.08203125,70372.0,0.0,334,0.023681640625,79633.0,0.0,307,0.110107421875,106212.0,0.0,336
1,756764.0,705764.0,51000.0,4403,4369,34,0.06739221210311264,0.22720443077833058,0.14579291523185728,0.054054545147785495,0.8791480618676568,0.19209489352030462,0,0.09836123231130788,34,0.22720443077833058,138842.0,7500.0,336,0.1711634294532689,144789.0,7500.0,333,0.08937181292307717,79551.0,6000.0,329,0.14680286312465263,86408.0,3000.0,332,0.08940906669804924,51512.0,9000.0,108,0.1273004212883952,56256.0,4500.0,334,0.09001073940305782,88031.0,7500.0,334,0.22508055818602668,111375.0,6000.0,338
2,707332.0,634948.0,72384.0,4304,4252,52,0.10233384040309203,0.29948398107074364,0.19248833035899296,0.064276985676856,0.8996794311206356,0.13737466988627678,0,0.11454274919264662,52,0.23823491145397357,93201.0,15000.0,337,0.23025530921069562,135762.0,10628.0,334,0.14390982775305725,77549.0,6000.0,337,0.21357204927864037,87777.0,6000.0,334,0.1207640761162474,55196.0,12000.0,151,0.20147552782376965,76779.0,6000.0,327,0.0922109601648162,75144.0,7628.0,336,0.29948398107074364,105924.0,9128.0,336
3,754575.0,667351.0,87224.0,4431,4371,60,0.11559354603584783,0.3436767945204686,0.22877611649549487,0.08251183515326299,0.884892964536591,0.15340208064142047,0,0.14881782344488417,60,0.32201725352650307,142231.0,19500.0,331,0.2828477131185961,121717.0,21000.0,330,0.20743308161851082,97860.0,6128.0,337,0.24802058356859236,88599.0,6000.0,339,0.09156352045716366,62472.0,9000.0,165,0.20225462249297743,56965.0,4596.0,335,0.13239536266114704,94944.0,10500.0,334,0.3436767945204686,89787.0,10500.0,339
4,770579.0,667899.0,102680.0,4751,4516,235,0.13325045193289703,0.4611682608760774,0.27151367095633644,0.11733137377417271,0.8426422493084114,0.17020204936807248,0,0.20487259093056426,56,0.4322115107072544,160773.0,27000.0,337,0.27259131636744743,117584.0,13500.0,332,0.18140476670923228,62256.0,4500.0,335,0.3043153252913439,97136.0,3096.0,336,0.12292814971791644,74402.0,12000.0,264,0.2556467587918754,65252.0,6096.0,327,0.14184327918954442,88876.0,9000.0,338,0.4611682608760774,104300.0,27488.0,336
5,720592.0,603880.0,116712.0,4024,3220,804,0.16196682727535114,0.6323645506483049,0.2624641424570375,0.18678022900476762,0.6638198410069729,0.15968571674401022,0,0.2741225718460625,0,0.4480614796329949,124733.0,36108.0,329,0.23242187499999997,114078.0,0.0,332,0.145458984375,60812.0,0.0,331,0.32065429687499997,91693.0,0.0,336,0.03671875,77796.0,0.0,333,0.212255859375,54964.0,0.0,337,0.07177734375,75311.0,0.0,333,0.6323645506483049,121205.0,80604.0,336
6,708354.0,527687.0,180667.0,3998,2919,1079,0.2550518526047707,0.6653178882186495,0.2933544489568573,0.20875452807088274,0.6638380302027582,0.22812922634727806,0,0.30005266040907486,0,0.6653178882186495,168597.0,123183.0,337,0.27910156249999996,125467.0,0.0,337,0.1650390625,68140.0,0.0,329,0.48513840173915823,87456.0,31452.0,328,0.035791015625,74015.0,0.0,335,0.187646484375,32774.0,0.0,328,0.0673828125,71221.0,0.0,330,0.46141836419705073,80684.0,26032.0,328
7,719427.0,547025.0,172402.0,4350,3302,1048,0.23963793407809236,0.5926837875272357,0.3200710150421302,0.20469502398775802,0.7097238869595301,0.17289818841939475,0,0.3083834127932693,0,0.5199309547351291,119342.0,52494.0,335,0.34900043149731913,132243.0,5108.0,335,0.191162109375,68903.0,0.0,334,0.5703396653273579,89412.0,48448.0,336,0.049951171875,76087.0,0.0,333,0.19716796875,43985.0,0.0,328,0.09033203125,76104.0,0.0,334,0.5926837875272357,113351.0,66352.0,332
8,677904.0,458477.0,219427.0,4068,2844,1224,0.32368447449786353,0.5885057312704229,0.34774481561721104,0.21890156876300398,0.7162007742771384,0.15963580388963616,0,0.2922142631180858,0,0.5885057312704229,130966.0,76413.0,333,0.5578785896761103,116136.0,59932.0,335,0.19765625,67749.0,0.0,327,0.5038450621649764,75555.0,30744.0,333,0.0328125,62132.0,0.0,331,0.266357421875,68644.0,0.0,335,0.065771484375,59487.0,0.0,335,0.5691314855761787,97235.0,52338.0,334
9,699974.0,536498.0,163476.0,3800,2876,924,0.2335458174160751,0.5603062299122141,0.3224585813172899,0.19328457250342576,0.7356775694077301,0.1492469720303895,0,0.29924182316990794,0,0.4195492992599965,125557.0,29481.0,335,0.4851159762972952,120780.0,44752.0,337,0.21640625,72005.0,0.0,331,0.5603062299122141,95071.0,49523.0,333,0.050146484375,78928.0,0.0,333,0.26206054687499997,54741.0,0.0,333,0.052587890625,67837.0,0.0,331,0.533495973193813,85055.0,39720.0,329
