epoch,bucket,queue,bytes
0,0,0,5856.0
0,1,1,3008.0
0,2,2,26784.0
0,3,3,0.0
0,4,4,15296.0
0,5,5,30692.0
0,6,6,0.0
0,7,7,14816.0
0,8,0,0.0
0,9,1,1888.0
0,10,2,10628.0
0,11,3,3840.0
0,12,4,0.0
0,13,5,0.0
0,14,6,0.0
0,15,7,0.0
0,16,0,0.0
0,17,1,0.0
0,18,2,12352.0
0,19,3,2030.0
0,20,4,17280.0
0,21,5,16228.0
0,22,6,3456.0
0,23,7,5984.0
0,24,0,0.0
0,25,1,0.0
0,26,2,1600.0
0,27,3,17576.0
0,28,4,0.0
0,29,5,0.0
0,30,6,8416.0
0,31,7,4448.0
0,32,0,9888.0
0,33,1,18784.0
0,34,2,0.0
0,35,3,2656.0
0,36,4,0.0
0,37,5,0.0
0,38,6,10628.0
0,39,7,36556.0
0,40,0,0.0
0,41,1,3424.0
0,42,2,0.0
0,43,3,0.0
0,44,4,0.0
0,45,5,0.0
0,46,6,2624.0
0,47,7,6944.0
0,48,0,0.0
0,49,1,8576.0
0,50,2,12000.0
0,51,3,0.0
0,52,4,192.0
0,53,5,8512.0
0,54,6,22564.0
0,55,7,0.0
0,56,0,17472.0
0,57,1,0.0
0,58,2,8384.0
0,59,3,38436.0
0,60,4,13792.0
0,61,5,12000.0
0,62,6,6368.0
0,63,7,22628.0
0,64,0,5856.0
0,65,1,26496.0
0,66,2,0.0
0,67,3,11104.0
0,68,4,4544.0
0,69,5,10336.0
0,70,6,10848.0
0,71,7,0.0
0,72,0,15744.0
0,73,1,0.0
0,74,2,11776.0
0,75,3,0.0
0,76,4,0.0
0,77,5,10304.0
0,78,6,0.0
0,79,7,9256.0
0,80,0,22628.0
0,81,1,8864.0
0,82,2,6400.0
0,83,3,24968.0
0,84,4,0.0
0,85,5,0.0
0,86,6,6240.0
0,87,7,4416.0
0,88,0,0.0
0,89,1,4064.0
0,90,2,8320.0
0,91,3,15300.0
0,92,4,12000.0
0,93,5,608.0
0,94,6,4352.0
0,95,7,16384.0
0,96,0,5184.0
0,97,1,0.0
0,98,2,4288.0
0,99,3,8000.0
0,100,4,12000.0
0,101,5,10628.0
0,102,6,0.0
0,103,7,6976.0
0,104,0,18376.0
0,105,1,0.0
0,106,2,2336.0
0,107,3,0.0
0,108,4,12593.0
0,109,5,10628.0
0,110,6,3296.0
0,111,7,3264.0
0,112,0,0.0
0,113,1,0.0
0,114,2,6656.0
0,115,3,2048.0
0,116,4,17952.0
0,117,5,0.0
0,118,6,2720.0
0,119,7,0.0
0,120,0,0.0
0,121,1,12000.0
0,122,2,0.0
0,123,3,18336.0
0,124,4,0.0
0,125,5,4768.0
0,126,6,7008.0
0,127,7,6784.0
1,0,0,3232.0
1,1,1,2912.0
1,2,2,11511.0
1,3,3,0.0
1,4,4,19108.0
1,5,5,12000.0
1,6,6,0.0
1,7,7,14880.0
1,8,0,141.0
1,9,1,288.0
1,10,2,10628.0
1,11,3,800.0
1,12,4,0.0
1,13,5,0.0
1,14,6,0.0
1,15,7,430.0
1,16,0,675.0
1,17,1,0.0
1,18,2,13952.0
1,19,3,2054.0
1,20,4,14464.0
1,21,5,14016.0
1,22,6,3584.0
1,23,7,576.0
1,24,0,0.0
1,25,1,0.0
1,26,2,1472.0
1,27,3,11432.0
1,28,4,0.0
1,29,5,0.0
1,30,6,6368.0
1,31,7,2784.0
1,32,0,754.0
1,33,1,20576.0
1,34,2,0.0
1,35,3,7616.0
1,36,4,0.0
1,37,5,0.0
1,38,6,10628.0
1,39,7,30696.0
1,40,0,0.0
1,41,1,4128.0
1,42,2,0.0
1,43,3,0.0
1,44,4,0.0
1,45,5,0.0
1,46,6,4000.0
1,47,7,4192.0
1,48,0,0.0
1,49,1,7392.0
1,50,2,10628.0
1,51,3,0.0
1,52,4,640.0
1,53,5,0.0
1,54,6,24804.0
1,55,7,0.0
1,56,0,0.0
1,57,1,0.0
1,58,2,0.0
1,59,3,16832.0
1,60,4,6112.0
1,61,5,10628.0
1,62,6,864.0
1,63,7,21256.0
1,64,0,5536.0
1,65,1,17472.0
1,66,2,0.0
1,67,3,10208.0
1,68,4,3616.0
1,69,5,9248.0
1,70,6,4608.0
1,71,7,0.0
1,72,0,11168.0
1,73,1,0.0
1,74,2,1696.0
1,75,3,0.0
1,76,4,0.0
1,77,5,7936.0
1,78,6,0.0
1,79,7,12000.0
1,80,0,21256.0
1,81,1,0.0
1,82,2,6178.0
1,83,3,23784.0
1,84,4,0.0
1,85,5,0.0
1,86,6,1184.0
1,87,7,4224.0
1,88,0,0.0
1,89,1,0.0
1,90,2,320.0
1,91,3,14564.0
1,92,4,9256.0
1,93,5,0.0
1,94,6,2656.0
1,95,7,4128.0
1,96,0,928.0
1,97,1,0.0
1,98,2,480.0
1,99,3,2080.0
1,100,4,12000.0
1,101,5,12000.0
1,102,6,0.0
1,103,7,3840.0
1,104,0,15236.0
1,105,1,0.0
1,106,2,2368.0
1,107,3,0.0
1,108,4,14424.0
1,109,5,12000.0
1,110,6,864.0
1,111,7,1120.0
1,112,0,0.0
1,113,1,380.0
1,114,2,10688.0
1,115,3,4928.0
1,116,4,14208.0
1,117,5,0.0
1,118,6,2208.0
1,119,7,0.0
1,120,0,0.0
1,121,1,12000.0
1,122,2,0.0
1,123,3,16416.0
1,124,4,0.0
1,125,5,2080.0
1,126,6,2784.0
1,127,7,8802.0
2,0,0,2816.0
2,1,1,3392.0
2,2,2,16368.0
2,3,3,0.0
2,4,4,22984.0
2,5,5,15588.0
2,6,6,0.0
2,7,7,13796.0
2,8,0,293.0
2,9,1,3936.0
2,10,2,10500.0
2,11,3,8320.0
2,12,4,0.0
2,13,5,0.0
2,14,6,0.0
2,15,7,1292.0
2,16,0,1148.0
2,17,1,0.0
2,18,2,17892.0
2,19,3,1500.0
2,20,4,1824.0
2,21,5,10440.0
2,22,6,3488.0
2,23,7,2464.0
2,24,0,0.0
2,25,1,0.0
