epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,179475.0,256.0,179219.0,134,2,132,0.9985736174954674,0.49999999999998546,0.4370981404116224,0.1652089830646597,0.8749986271052087,0.35067349212982224,0,0,0.0,0,0,0,132,3291,264960.0,65536.0,0.49823686424811825,31884.0,31756.0,0,0.4985482590450154,44085.0,43957.0,1,0.0,0.0,0.0,0,0.4999999999999583,12000.0,12000.0,0,0.4999999999999583,12000.0,12000.0,0,0.499999999999985,33256.0,33256.0,0,0.49999999999998546,34250.0,34250.0,0,0.4999999999999583,12000.0,12000.0,0
1,188844.0,1096.0,187748.0,153,8,145,0.9941962678189353,0.4999999999999873,0.4352800218862687,0.16453740855120264,0.8749778657733364,0.3584956366101111,0,0,0.0,0,0,0,145,2420,200261.0,65536.0,0.49807553524174597,33256.0,33128.0,2,0.494735288249496,47106.0,46587.0,3,0.0,0.0,0.0,0,0.49357779848259725,15026.0,14833.0,1,0.4999999999999628,13447.0,13447.0,0,0.4958515531164037,29140.0,28884.0,1,0.4999999999999873,39266.0,39266.0,0,0.49999999999995687,11603.0,11603.0,0
2,160647.0,1129.0,159518.0,125,7,118,0.9929721687924394,0.4999999999999605,0.4973714831966376,0.0028706628832539903,0.9999666888994214,0.33947490460450447,0,0,0.0,0,0,0,118,2526,199977.0,65536.0,0.4979070094534948,27384.0,27256.0,0,0.4923511180549998,38373.0,37756.0,2,0.4999999999995552,1124.0,1124.0,0,0.4999999999999605,12664.0,12664.0,0,0.492988606485485,9128.0,9000.0,1,0.49777437752119563,28756.0,28628.0,2,0.4979507540584516,31231.0,31103.0,1,0.49999999999995826,11987.0,11987.0,0
3,193391.0,640.0,192751.0,149,5,144,0.9966906422739373,0.49999999999998923,0.43595195016455157,0.16478881796799424,0.8749812928006452,0.36306045782895713,0,0,0.0,0,0,0,144,2494,200064.0,65536.0,0.4981517846829012,34628.0,34500.0,2,0.49999999999998923,46300.0,46300.0,2,0.0,0.0,0.0,0,0.4954856457642311,14177.0,14049.0,1,0.4999999999999583,12000.0,12000.0,0,0.49999999999998823,42402.0,42402.0,0,0.49397817086938606,31884.0,31500.0,3,0.4999999999999583,12000.0,12000.0,0
4,178708.0,384.0,178324.0,143,3,140,0.9978512433690658,0.49999999999998546,0.4994707558402388,0.0009832663262430415,0.9999961245018175,0.3806488797367764,0,0,0.0,0,0,0,140,2539,199836.0,65536.0,0.49999999999998107,26396.0,26396.0,0,0.49717164574861905,45256.0,45000.0,2,0.4999999999989362,470.0,470.0,0,0.49999999999996286,13468.0,13468.0,0,0.49999999999994593,9256.0,9256.0,0,0.4985944009745258,38794.0,38666.0,0,0.49999999999998546,34214.0,34214.0,0,0.4999999999999539,10854.0,10854.0,0
5,191189.0,384.0,190805.0,148,3,145,0.9979915162483146,0.4999999999999902,0.49878020142188806,0.0021599881171831168,0.999981246703448,0.3742768935451297,0,0,0.0,0,0,0,145,2514,200219.0,65536.0,0.4960192998816757,30297.0,30041.0,1,0.4999999999999902,50684.0,50684.0,0,0.49999999999918965,617.0,617.0,0,0.49999999999995953,12355.0,12355.0,0,0.4942223114943551,10628.0,10500.0,0,0.4999999999999866,37284.0,37284.0,1,0.49999999999998623,36201.0,36201.0,0,0.49999999999996186,13123.0,13123.0,0
6,188667.0,652.0,188015.0,146,5,141,0.9965441757169988,0.4999999999999891,0.4981494920328636,0.0029792204624888114,0.9999642339374203,0.33268072847927743,0,0,0.0,0,0,0,141,2582,199917.0,65536.0,0.49807553524174597,33256.0,33128.0,2,0.4999999999999891,45711.0,45711.0,0,0.4999999999998553,3455.0,3455.0,0,0.4999999999999625,13323.0,13323.0,0,0.4999999999999499,9984.0,9984.0,1,0.4981618175029297,34817.0,34689.0,1,0.49837558204275434,34251.0,34123.0,0,0.49058300147572165,13870.0,13602.0,1
7,181530.0,1656.0,179874.0,147,10,137,0.9908775409023248,0.4999999999999849,0.49301683223884,0.011819319263858437,0.9994256032767578,0.3338373822508667,0,0,0.0,0,0,0,137,2456,199988.0,65536.0,0.4999999999999849,33000.0,33000.0,0,0.4956139527647619,41467.0,41083.0,2,0.49999999999979466,2435.0,2435.0,0,0.49504221860713493,12909.0,12781.0,1,0.49506705719126753,12974.0,12846.0,1,0.49801605753431605,32259.0,32131.0,1,0.4982439773911953,36446.0,36318.0,2,0.4621513944222647,10040.0,9280.0,4
8,187656.0,541.0,187115.0,145,4,141,0.9971170652683581,0.49999999999998496,0.49912537039027305,0.0012304166294001895,0.999993923032184,0.3482795647354726,0,0,0.0,0,0,0,141,2486,199990.0,65536.0,0.49999999999998496,33128.0,33128.0,0,0.49858181173549687,45128.0,45000.0,2,0.49999999999956296,1144.0,1144.0,0,0.4999999999999668,15060.0,15060.0,0,0.4999999999999531,10669.0,10669.0,0,0.49663691097735685,39504.0,39219.0,1,0.49778424040989827,28884.0,28756.0,1,0.49999999999996464,14139.0,14139.0,0
9,190097.0,896.0,189201.0,153,7,146,0.995286616832454,0.4999999999999611,0.49800716974442005,0.0023037535434501754,0.9999786010321173,0.29762371315696634,0,0,0.0,0,0,0,146,2469,200059.0,65536.0,0.49341111873711413,29140.0,28756.0,3,0.498806713619329,44524.0,44396.0,0,0.4999999999999433,8824.0,8824.0,0,0.49509364971879566,12426.0,12298.0,0,0.4999999999999583,12000.0,12000.0,0,0.49826113705865943,33946.0,33818.0,1,0.4984847388215995,36376.0,36248.0,0,0.4999999999999611,12861.0,12861.0,0
