epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,jain_P,gini_B_gen,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3],P_q[4],B_q_gen[4],B_q_drop[4],K_q[4],P_q[5],B_q_gen[5],B_q_drop[5],K_q[5],P_q[6],B_q_gen[6],B_q_drop[6],K_q[6],P_q[7],B_q_gen[7],B_q_drop[7],K_q[7]
0,891255.0,264704.0,626551.0,6045,3289,2756,0.7029985806531232,0.40751527629245426,0.3783342086811107,0.02144142821340459,0.9967984259168886,0.09775330853683828,0,0.24831736577547256,2756,0.36033349197494324,101004.0,67020.0,301,0.3483427497589053,87104.0,54432.0,261,0.3737713722214469,111524.0,78468.0,312,0.40751527629245426,144294.0,104006.0,317,0.3946623777496676,105649.0,77201.0,234,0.3787497670634819,114704.0,85264.0,319,0.3562205001341468,88520.0,57576.0,266,0.4070781342538397,138456.0,102584.0,306
1,651925.0,199165.0,452760.0,3388,2412,976,0.694497066380334,0.4181332311454997,0.3698568225699881,0.03876421817173449,0.9891344894091034,0.13046420217049493,0,0.21314564049077156,976,0.3560484694256297,58926.0,40649.0,256,0.30955012709042823,65148.0,36764.0,326,0.40283938818563436,69921.0,53705.0,176,0.3922593163395632,110714.0,77786.0,332,0.3615191639722383,93828.0,60740.0,320,0.4181332311454997,79908.0,65092.0,152,0.3146486674502683,64552.0,36424.0,282,0.40385621695064283,108928.0,81600.0,313
2,665758.0,198848.0,466910.0,4038,2519,1519,0.7013209003872267,0.41811958606458216,0.37507904234840095,0.03177663686386692,0.9928736971086416,0.09482161686378521,0,0.21421138490529784,1519,0.36060482122695775,75121.0,49681.0,239,0.3307833081180212,55212.0,34828.0,333,0.3781391026758562,88099.0,64227.0,326,0.41811958606458216,109916.0,84252.0,335,0.3788412112253022,79399.0,56135.0,330,0.40127826423845453,82219.0,62027.0,188,0.3264673546918628,81596.0,43420.0,337,0.4063986905461709,94196.0,72340.0,302
3,698004.0,199424.0,498580.0,3856,2489,1367,0.7142939008945497,0.4148091428171028,0.37935680758127166,0.025375729959688127,0.9955454644122939,0.11450686529016996,0,0.2564087734440482,1367,0.3657928321243995,80512.0,55552.0,320,0.3349051174629432,66511.0,40815.0,276,0.36923717658465605,81508.0,57732.0,286,0.4148091428171028,112620.0,85612.0,328,0.3825050778236411,84255.0,61247.0,337,0.3993032635476929,107110.0,76198.0,273,0.35987673781987667,60960.0,39072.0,331,0.4084251124698608,104528.0,82352.0,335
4,739530.0,199452.0,540078.0,4323,2536,1787,0.7302989736724667,0.4158333483458202,0.39146837819251035,0.019860780612819196,0.9974326631277189,0.09536868010763566,0,0.26551147522845087,1787,0.3712803068681865,92513.0,62273.0,328,0.35930753276150534,73023.0,49951.0,336,0.38950557675359854,90282.0,66037.0,278,0.4158333483458202,109284.0,83524.0,328,0.3999165050212194,88462.0,68526.0,307,0.40964197499358096,79902.0,63262.0,332,0.37430213674254886,79428.0,52580.0,333,0.41195964405362323,126636.0,93925.0,297
5,718367.0,199835.0,518532.0,4011,2511,1500,0.7218204622428358,0.42338090690435387,0.3878017887383617,0.03284318384692344,0.9928785729219161,0.11489444114220149,0,0.2533478833270628,1500,0.39589283414379156,62175.0,48191.0,313,0.3228488412330703,71342.0,42554.0,325,0.3902522497692901,102132.0,73421.0,319,0.42338090690435387,106020.0,84804.0,336,0.3981237915228477,89561.0,64377.0,220,0.4101659925880147,90293.0,70261.0,223,0.3464473681313535,76291.0,43139.0,335,0.4153023256141717,120553.0,91785.0,334
6,779519.0,199265.0,580254.0,4620,2577,2043,0.744374415504945,0.4338603547833909,0.40048587110707207,0.021600345806081098,0.9970994157388406,0.10418267547038607,0,0.29441888375117753,2043,0.3948431671429935,70504.0,54120.0,199,0.35934648905506217,80294.0,53990.0,340,0.4074621998604297,100042.0,77482.0,327,0.4241449345971656,103412.0,84724.0,305,0.39490900901462866,97626.0,70681.0,333,0.4043315133661395,122241.0,87905.0,328,0.3849893010367666,81696.0,51296.0,334,0.4338603547833909,123704.0,100056.0,328
7,659333.0,198332.0,461001.0,3599,2446,1153,0.6991929722916936,0.41243919422469566,0.3774197666849377,0.033707919728484206,0.9920865803058323,0.12102363297453622,0,0.26573274458371104,1153,0.3428661771101594,73183.0,48190.0,286,0.31483817760341964,70100.0,39540.0,331,0.3950182647762984,73716.0,56597.0,278,0.40172176419549854,101784.0,76440.0,262,0.41243919422469566,64659.0,52275.0,309,0.4026554432792613,114807.0,79405.0,330,0.3503811158712319,62440.0,35414.0,334,0.39943799641893707,98644.0,73140.0,332
8,656596.0,199449.0,457147.0,3660,2482,1178,0.6962378692529337,0.4070864133200123,0.3839018218427572,0.022096777509782676,0.9966979691480118,0.14568890154676528,0,0.2702563037614957,1178,0.39855831792712065,60607.0,45535.0,153,0.33869916757641394,60456.0,38544.0,332,0.3791354663873696,73012.0,53780.0,240,0.4007556846066579,112705.0,84545.0,335,0.37475941268695234,75084.0,55243.0,252,0.4070864133200123,77506.0,57858.0,339,0.3672631011714159,68720.0,40880.0,331,0.40495701106611504,128506.0,80762.0,335
9,676362.0,199163.0,477199.0,3731,2462,1269,0.7055378628604198,0.43551425336158,0.3898097884169762,0.029403430725432916,0.9943424743717013,0.13900322608307358,0,0.26416691415804244,1269,0.41547069091080413,51170.0,41275.0,171,0.33837955049626833,54418.0,35122.0,270,0.37335439461272074,100684.0,65772.0,288,0.40923155625034185,108556.0,84492.0,331,0.3811627275543895,94658.0,65218.0,237,0.40138675405858665,85463.0,65027.0,341,0.3639783800911186,74474.0,41610.0,333,0.43551425336158,106939.0,78683.0,336
