time_interval,epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,fairness_B,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3]
0,0,1327500.0,1327500.0,0.0,885,885,0,0.0,0.0908203125,0.0234375,0.038909612916282296,0.26624094661231457,0.7585714285714286,0.3070621468926551,885,73944.79119016738,20530.918131782208,257551.16997642597,291837.02245364647,304550.9253073936,307760.1104763127,0,0,0.0,0,0,0,0,885,1327500.0,20396.0,0.0908203125,616500.0,0.0,318,0.001953125,342000.0,0.0,226,0.0,96000.0,0.0,64,0.0009765625,273000.0,0.0,181
1,1,1321500.0,1321500.0,0.0,881,881,0,0.0,0.13359374999999998,0.033544921874999994,0.05776371314981618,0.2522004583651093,0.7691311413678974,0.29653802497162296,881,195350.197484799,21572.23520386801,509448.6484678257,537433.5222294145,554033.5588291108,556800.0901324395,0,0,0.0,0,0,0,0,881,1321500.0,20928.0,0.13359374999999998,609000.0,0.0,325,0.0005859375,333000.0,0.0,223,0.0,106500.0,0.0,71,0.0,273000.0,0.0,183
2,2,1398000.0,1398000.0,0.0,932,932,0,0.0,0.2064453125,0.052001953125,0.08917019673665337,0.2537889587008373,0.7672543546620499,0.2977467811158796,932,327418.71255716664,21658.986517468,829878.2973515684,858948.306696855,872226.9235603291,874807.8004722018,0,0,0.0,0,0,0,0,932,1398000.0,23736.0,0.2064453125,648000.0,0.0,325,0.0015625,351000.0,0.0,233,0.0,115500.0,0.0,77,0.0,283500.0,0.0,189
3,3,1372500.0,1372500.0,0.0,915,915,0,0.0,0.2671875,0.06694335937500001,0.11561125596299253,0.251100236841527,0.7599005587444044,0.30191256830601065,915,487943.3920433913,22153.540922971442,1166030.9766088522,1195942.233740723,1214713.9553852736,1217235.7930865549,0,0,0.0,0,0,0,0,915,1372500.0,20248.0,0.2671875,646500.0,0.0,326,0.0005859375,337500.0,0.0,226,0.0,115500.0,0.0,77,0.0,273000.0,0.0,182
4,4,1438500.0,1435500.0,3000.0,959,957,2,0.0020855057351407704,0.3456116272522522,0.08654939118806305,0.14956984301205756,0.2508505778703053,0.7624639776620051,0.3031803962460895,957,648785.7823484906,21417.01349627413,1538370.1840942085,1566002.1276967805,1577744.5070388142,1580005.473364775,0,1,0.0,0,0,0,0,957,1435500.0,18716.0,0.3456116272522522,666000.0,3000.0,322,0.0005859375,367500.0,0.0,245,0.0,108000.0,0.0,72,0.0,297000.0,0.0,198
5,5,1395000.0,1197000.0,115500.0,930,798,77,0.08279569892473113,0.38088739997240606,0.09522184999310151,0.16492908217875396,0.25000393818209315,0.7310678036014958,0.31827956989247275,798,631706.9053888259,19114.591834402643,1565295.7966549194,1573675.9990342055,1576910.8567022916,1577099.4854490915,1,1,82500.0,55,0,0,0,798,1197000.0,17956.0,0.38088739997240606,679500.0,115500.0,322,0.0,316500.0,0.0,212,0.0,90000.0,0.0,60,0.0,309000.0,0.0,206
6,6,1426500.0,1344000.0,43500.0,951,896,29,0.03049421661409041,0.3329748376623376,0.0879312094155844,0.14168293356921172,0.27806944815374296,0.7885613392623594,0.2852260778128284,896,623096.1000506723,155462.07467256347,1560296.1173543995,1566987.1960236784,1571348.10613866,1573805.2263524067,1,1,39000.0,26,0,0,0,896,1344000.0,17364.0,0.3329748376623376,577500.0,43500.0,331,0.01875,450000.0,0.0,323,0.0,78000.0,0.0,52,0.0,321000.0,0.0,214
7,7,1387500.0,1332000.0,16500.0,925,888,11,0.011891891891891883,0.30950375349162007,0.08528609462290501,0.13009499493801033,0.30058993627300673,0.7940068893582429,0.2781081081081078,888,626961.7008441425,180102.49281792622,1565243.014826938,1570572.6370682272,1575676.2376606471,1576203.093374461,1,1,39000.0,26,0,0,0,888,1332000.0,20084.0,0.30950375349162007,537000.0,16500.0,323,0.031640625,477000.0,0.0,322,0.0,85500.0,0.0,57,0.0,288000.0,0.0,192
8,8,1459500.0,1414500.0,6000.0,973,943,4,0.00411099691675231,0.3016493055555555,0.09592013888888888,0.123408607216896,0.3766121314425748,0.7890960222177028,0.27517985611510776,943,659525.6931874302,325020.40462528355,1551213.2927179127,1562913.9126641422,1566669.2212361796,1568763.7081708238,1,1,39000.0,26,0,0,0,943,1414500.0,21604.0,0.3016493055555555,540000.0,6000.0,328,0.08203125,546000.0,0.0,328,0.0,99000.0,0.0,66,0.0,274500.0,0.0,183
9,9,1408500.0,1369500.0,0.0,939,913,0,0.0,0.266015625,0.09999999999999999,0.11035864883220668,0.4508808266810748,0.797034491237078,0.2808839190628325,913,680070.1974235356,522527.67072333954,1547677.3244864363,1559149.881978874,1567090.3590023874,1569273.939792361,1,0,39000.0,26,0,0,0,913,1369500.0,17712.0,0.266015625,456000.0,0.0,328,0.133984375,571500.0,0.0,329,0.0,103500.0,0.0,69,0.0,277500.0,0.0,185
10,10,1396500.0,1396500.0,0.0,931,931,0,0.0,0.235546875,0.11064453125,0.11110290232111313,0.4979374228754399,0.775236570488167,0.2994092373791619,931,748266.03044286,823260.3899840359,1374165.1854342204,1405073.5900653696,1418923.5820832257,1421579.6602005586,0,0,0.0,0,0,0,0,931,1396500.0,23908.0,0.235546875,408000.0,0.0,324,0.20703125,607500.0,0.0,325,0.0,88500.0,0.0,59,0.0,292500.0,0.0,195
11,11,1423500.0,1423500.0,0.0,949,949,0,0.0,0.2705078125,0.11884765624999999,0.1194514787559264,0.4974661316791983,0.7715989197969821,0.298472075869336,949,804877.6128130383,1075983.7924564462,1234418.63208423,1257047.7359343148,1266633.5175742235,1267707.0713477992,0,0,0.0,0,0,0,0,949,1423500.0,20772.0,0.20097656249999998,394500.0,0.0,322,0.2705078125,624000.0,0.0,319,0.001953125,81000.0,0.0,52,0.001953125,324000.0,0.0,214
