time_interval,epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,fairness_B,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,handoffs_committed,handoffs_pending,released_buffered_bytes,released_buffered_pkts,released_buffered_pkts_dropped_at_dst,handoff_buffer_overflow_pkts,pcie_drop_pkts,pcie_accept_pkts,pcie_accept_bytes,pcie_fifo_peak_bytes,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3]
0,0,1327500.0,1327500.0,0.0,885,885,0,0.0,0.0908203125,0.0234375,0.038909612916282296,0.26624094661231457,0.7585714285714286,0.3070621468926551,885,73944.79119016738,20530.918131782208,257551.16997642597,291837.02245364647,304550.9253073936,307760.1104763127,0,0,0.0,0,0,0,0,885,1327500.0,20396.0,0.0908203125,616500.0,0.0,318,0.001953125,342000.0,0.0,226,0.0,96000.0,0.0,64,0.0009765625,273000.0,0.0,181
1,1,1321500.0,1321500.0,0.0,881,881,0,0.0,0.13359374999999998,0.033544921874999994,0.05776371314981618,0.2522004583651093,0.7691311413678974,0.29653802497162296,881,195350.197484799,21572.23520386801,509448.6484678257,537433.5222294145,554033.5588291108,556800.0901324395,0,0,0.0,0,0,0,0,881,1321500.0,20928.0,0.13359374999999998,609000.0,0.0,325,0.0005859375,333000.0,0.0,223,0.0,106500.0,0.0,71,0.0,273000.0,0.0,183
2,2,1398000.0,1398000.0,0.0,932,932,0,0.0,0.2064453125,0.052001953125,0.08917019673665337,0.2537889587008373,0.7672543546620499,0.2977467811158796,932,327418.71255716664,21658.986517468,829878.2973515684,858948.306696855,872226.9235603291,874807.8004722018,0,0,0.0,0,0,0,0,932,1398000.0,23736.0,0.2064453125,648000.0,0.0,325,0.0015625,351000.0,0.0,233,0.0,115500.0,0.0,77,0.0,283500.0,0.0,189
3,3,1372500.0,1372500.0,0.0,915,915,0,0.0,0.2671875,0.06694335937500001,0.11561125596299253,0.251100236841527,0.7599005587444044,0.30191256830601065,915,487943.3920433913,22153.540922971442,1166030.9766088522,1195942.233740723,1214713.9553852736,1217235.7930865549,0,0,0.0,0,0,0,0,915,1372500.0,20248.0,0.2671875,646500.0,0.0,326,0.0005859375,337500.0,0.0,226,0.0,115500.0,0.0,77,0.0,273000.0,0.0,182
4,4,1438500.0,1435500.0,3000.0,959,957,2,0.0020855057351407704,0.3456116272522522,0.08654939118806305,0.14956984301205756,0.2508505778703053,0.7624639776620051,0.3031803962460895,957,648785.7823484906,21417.01349627413,1538370.1840942085,1566002.1276967805,1577744.5070388142,1580005.473364775,0,0,0.0,0,0,0,0,957,1435500.0,18716.0,0.3456116272522522,666000.0,3000.0,322,0.0005859375,367500.0,0.0,245,0.0,108000.0,0.0,72,0.0,297000.0,0.0,198
5,5,1395000.0,1197000.0,198000.0,930,798,132,0.14193548387096766,0.44159380173841034,0.11039845043460259,0.19121572522960606,0.2500033967944994,0.7310678036014958,0.31827956989247275,798,633415.2193256964,18966.81433266308,1569923.9949348131,1574477.0318937832,1577308.463744662,1577366.6332761385,0,0,0.0,0,0,0,0,798,1197000.0,16008.0,0.44159380173841034,679500.0,198000.0,322,0.0,316500.0,0.0,212,0.0,90000.0,0.0,60,0.0,309000.0,0.0,206
6,6,1426500.0,1264500.0,162000.0,951,843,108,0.11356466876971602,0.4194682315503431,0.10486705788758577,0.18163507230156511,0.2500035759646692,0.7512310074325604,0.31256572029442675,843,614713.3228621655,18534.765220122412,1569303.9253763224,1575470.7105921095,1580392.5625146986,1580559.6666242704,0,0,0.0,0,0,0,0,843,1264500.0,16668.0,0.4194682315503431,655500.0,162000.0,329,0.0,372000.0,0.0,248,0.0,78000.0,0.0,52,0.0,321000.0,0.0,214
7,7,1387500.0,1213500.0,174000.0,925,809,116,0.12540540540540532,0.4280356121281462,0.10700890303203656,0.18534485691369856,0.2500035043894989,0.7422068819547333,0.32081081081081053,809,623548.1169730871,18899.498132498004,1567040.0028513395,1572564.5475427154,1576835.627093368,1577507.2038646135,0,0,0.0,0,0,0,0,809,1213500.0,17648.0,0.4280356121281462,655500.0,174000.0,322,0.0,358500.0,0.0,239,0.0,85500.0,0.0,57,0.0,288000.0,0.0,192
8,8,1459500.0,1258500.0,201000.0,973,839,134,0.13771839671120237,0.44166217672413766,0.11041554418103441,0.19124533246691772,0.2500033962686307,0.7379232776601682,0.32656731757451163,839,622103.3287070659,18481.578023292124,1577024.2569836024,1580854.7512132155,1583433.532535779,1584303.1357469223,0,0,0.0,0,0,0,0,839,1258500.0,18028.0,0.44166217672413766,696000.0,201000.0,328,0.0,390000.0,0.0,260,0.0,99000.0,0.0,66,0.0,274500.0,0.0,183
9,9,1408500.0,1236000.0,172500.0,939,824,115,0.12247071352502654,0.4266291042626726,0.10665727606566815,0.1847358211426372,0.2500035159427729,0.7592063524865418,0.309105431309904,824,612830.4173366603,18359.50381229911,1578717.9705395543,1584474.6907471945,1587988.238296028,1588348.8944335822,0,0,0.0,0,0,0,0,824,1236000.0,16980.0,0.4266291042626726,651000.0,172500.0,323,0.0,376500.0,0.0,251,0.0,103500.0,0.0,69,0.0,277500.0,0.0,185
10,10,1396500.0,1240500.0,156000.0,931,827,104,0.11170784103114922,0.4156359521028035,0.10390898802570088,0.17997564662358004,0.25000360893614054,0.7558320630923189,0.3117615467239525,827,615356.9228163518,18533.484648725018,1565460.9108419346,1570082.174967268,1573156.9598707668,1574625.7976404764,0,0,0.0,0,0,0,0,827,1240500.0,23228.0,0.4156359521028035,642000.0,156000.0,324,0.0,373500.0,0.0,249,0.0,88500.0,0.0,59,0.0,292500.0,0.0,195
11,11,1423500.0,1281000.0,142500.0,949,854,95,0.10010537407797675,0.41118537920533627,0.10474946980133407,0.1769226515749097,0.25955508541594396,0.7584979298402827,0.3063751317175971,854,621511.9662187556,18711.488365155645,1575823.0525973167,1583870.02902498,1585925.195058451,1585947.196693154,0,0,0.0,0,0,0,0,854,1281000.0,19084.0,0.41118537920533627,646500.0,142500.0,329,0.00390625,372000.0,0.0,244,0.001953125,81000.0,0.0,52,0.001953125,324000.0,0.0,214
