time_interval,epoch,total_B_gen,total_B_adm,total_B_drop,total_N_gen,total_N_adm,total_N_drop,drop_ratio,P_q_max,P_q_mean,P_q_std,fairness_P,fairness_B,imbalance_B,lat_n,lat_mean_ns,lat_p50_ns,lat_p95_ns,lat_p99_ns,lat_p999_ns,lat_max_ns,reassignments,pred_risk_max,pcie_drop_pkts,P_q[0],B_q_gen[0],B_q_drop[0],K_q[0],P_q[1],B_q_gen[1],B_q_drop[1],K_q[1],P_q[2],B_q_gen[2],B_q_drop[2],K_q[2],P_q[3],B_q_gen[3],B_q_drop[3],K_q[3]
0,0,96000.0,96000.0,0.0,64,64,0,0.0,0.01171875,0.003173828125,0.0049494958331819565,0.2914711202573569,0.6009389671361502,0.45312499999999556,64,8437.964364095264,7608.988144827243,18238.96130826702,20604.46706438093,20982.039093428913,21023.991541100913,0,0.010856249999999998,0,0.01171875,51000.0,0.0,22,0.0009765625,33000.0,0.0,21,0.0,12000.0,0.0,8,0.0,0.0,0.0,0
1,1,145500.0,145500.0,0.0,97,97,0,0.0,0.028515625,0.010205078125,0.011102252979000108,0.45799056550839384,0.6029864137400667,0.4510309278350484,97,14560.980072620963,12330.630024847858,31297.483296140486,35087.125146102706,35925.36453641335,36018.50224644787,0,0.08996664402173912,0,0.028515625,76500.0,0.0,29,0.009375,51000.0,0.0,25,0.0029296875,18000.0,0.0,9,0.0,0.0,0.0,0
2,2,96000.0,96000.0,0.0,64,64,0,0.0,0.0248046875,0.00693359375,0.010386971426505371,0.30828708878875377,0.6009389671361502,0.45312499999999556,64,20947.20390705051,26282.39364940112,42578.31596074371,44935.05493254931,45426.26965143998,45480.84906465006,0,0.0,0,0.0248046875,51000.0,0.0,29,0.0029296875,33000.0,0.0,27,0.0,12000.0,0.0,11,0.0,0.0,0.0,0
3,3,97500.0,97500.0,0.0,65,65,0,0.0,0.027734375,0.0072265624999999995,0.011849852587591808,0.2711266223762157,0.6039165237278444,0.44999999999999574,65,25964.90628480559,35761.498239296576,51877.41071165945,54358.2715733728,54924.70822068868,54987.645625945996,0,0.0,0,0.027734375,51000.0,0.0,29,0.001171875,34500.0,0.0,26,0.0,12000.0,0.0,8,0.0,0.0,0.0,0
4,4,144000.0,144000.0,0.0,96,96,0,0.0,0.047265625000000006,0.014306640625000002,0.01925655213849175,0.35567155650393384,0.6009389671361502,0.4531249999999969,96,31818.48132114288,46324.29592191508,63029.31060151809,66197.88996544495,66969.20335651857,67054.90484441564,0,0.0835867265543718,0,0.047265625000000006,76500.0,0.0,29,0.0080078125,49500.0,0.0,26,0.001953125,18000.0,0.0,10,0.0,0.0,0.0,0
5,5,99000.0,99000.0,0.0,66,66,0,0.0,0.042578125,0.0115234375,0.017986786124754368,0.29103010221860987,0.606347438752784,0.4469696969696928,66,36126.42757091885,56638.8068015828,71428.80436907819,73678.81307431716,74002.82064623153,74038.82148755534,0,0.0,0,0.042578125,51000.0,0.0,30,0.0035156249999999997,36000.0,0.0,27,0.0,12000.0,0.0,10,0.0,0.0,0.0,0
6,6,99000.0,99000.0,0.0,66,66,0,0.0,0.0458984375,0.011474609375,0.01987460643450616,0.2500326815630427,0.599009900990099,0.45454545454545037,66,41168.074885714144,64208.05123617507,79612.71794135378,81410.63312242833,81775.29973027612,81815.8182422592,0,0.00846033035404985,0,0.0458984375,52500.0,0.0,30,0.0,34500.0,0.0,29,0.0,12000.0,0.0,8,0.0,0.0,0.0,0
7,7,148500.0,148500.0,0.0,99,99,0,0.0,0.064453125,0.018798828125,0.026559762252639764,0.3337737950714156,0.6117977528089887,0.44191919191918894,99,46638.9565245441,74420.95554115804,92314.24900788834,95280.01844704238,96028.71375997155,96111.90212807478,0,0.2500675,0,0.064453125,78000.0,0.0,31,0.0087890625,51000.0,0.0,25,0.001953125,18000.0,0.0,10,0.0,1500.0,0.0,1
8,8,100500.0,100500.0,0.0,67,67,0,0.0,0.06015625,0.015625,0.025727927812617363,0.26946823859134494,0.6017426273458445,0.45149253731342864,67,52089.79074506264,85781.87409325986,102147.4322383594,104870.96344450579,105353.5879389365,105407.21288276213,0,0.0031884842637400273,0,0.06015625,52500.0,0.0,31,0.00234375,36000.0,0.0,29,0.0,12000.0,0.0,10,0.0,0.0,0.0,0
9,9,102000.0,102000.0,0.0,68,68,0,0.0,0.064453125,0.01611328125,0.02790902180164695,0.2500232730883358,0.6116402116402117,0.4411764705882313,68,57280.44124896494,96028.96097048296,110527.26977789565,113070.00409444126,113615.23145446967,113675.8122722506,0,0.250100575,0,0.064453125,54000.0,0.0,30,0.0,34500.0,0.0,27,0.0,12000.0,0.0,8,0.0,1500.0,0.0,1
10,10,151500.0,151500.0,0.0,101,101,0,0.0,0.08359375,0.023583984375,0.034758869329133746,0.31524675274332387,0.6002000470698988,0.45297029702970004,101,63698.48708184654,105540.83542552782,124918.61435222137,128568.35122924048,129361.14689821152,129449.23530587496,0,0.09992364628788786,0,0.08359375,79500.0,0.0,31,0.0078125,54000.0,0.0,28,0.0029296875,18000.0,0.0,9,0.0,0.0,0.0,0
11,11,102000.0,102000.0,0.0,68,68,0,0.0,0.080859375,0.020947265625,0.03461094424304635,0.2681049900196245,0.6116402116402117,0.4411764705882313,68,70988.28723625295,121195.08511800854,137057.71638204218,139786.53639854677,140363.57371336417,140427.6889705661,0,0.23178450808566461,0,0.080859375,54000.0,0.0,30,0.0029296875,34500.0,0.0,26,0.0,12000.0,0.0,11,0.0,1500.0,0.0,1
12,12,111000.0,111000.0,0.0,74,74,0,0.0,0.086328125,0.022119140625000002,0.03707373262632707,0.262522244746945,0.6009657594381036,0.45270270270269886,74,76560.81810599237,131870.3350413205,146119.47881918028,148564.48796462454,148794.32573900121,148819.8632694875,0,0.0400208775216732,0,0.086328125,58500.0,0.0,31,0.001171875,39000.0,0.0,29,0.0009765625,13500.0,0.0,8,0.0,0.0,0.0,0
13,13,145500.0,145500.0,0.0,97,97,0,0.0,0.10468749999999999,0.027832031249999997,0.044435310749792935,0.2817760651591481,0.6064062902810002,0.4458762886597907,97,83080.99958777399,144184.6516056587,161947.80836958514,165118.43641108758,165605.44173056536,165659.55343272956,0,0.20112392984009514,0,0.10468749999999999,76500.0,0.0,29,0.0060546875,51000.0,0.0,29,0.0005859375,16500.0,0.0,11,0.0,1500.0,0.0,1
14,14,105000.0,105000.0,0.0,70,70,0,0.0,0.10292968749999999,0.026171874999999997,0.044321953673011505,0.2585462882281384,0.5952380952380952,0.4571428571428531,70,90761.57001626847,157168.11492413282,176211.78671904522,178349.9097933559,178557.41974433773,178580.47640555794,0,0.030075177790755907,0,0.10292968749999999,55500.0,0.0,30,0.0017578124999999998,37500.0,0.0,29,0.0,12000.0,0.0,9,0.0,0.0,0.0,0
15,15,126000.0,126000.0,0.0,84,84,0,0.0,0.11582031250000001,0.030126953125,0.049493778145993206,0.27035331577674504,0.588,0.46428571428571086,84,100160.30362108425,171500.396127711,186074.70360593466,187772.90823516835,188291.25481982707,188348.84888478916,0,0.08042481008306969,0,0.11582031250000001,69000.0,0.0,30,0.0037109375,42000.0,0.0,26,0.0009765625,15000.0,0.0,9,0.0,0.0,0.0,0
16,16,129000.0,129000.0,0.0,86,86,0,0.0,0.122265625,0.031787109375,0.052275815691574655,0.26994474697404974,0.6126573889993373,0.44186046511627586,86,102331.20593843338,184688.59721360594,202364.31933097384,205541.8213998439,206380.93721095627,206474.17230107985,0,0.07139484021603792,0,0.122265625,66000.0,0.0,31,0.0048828125,46500.0,0.0,29,0.0,16500.0,0.0,12,0.0,0.0,0.0,0
17,17,100500.0,100500.0,0.0,67,67,0,0.0,0.123046875,0.03134765625,0.05295121434361886,0.2595286342385419,0.6115803814713896,0.44402985074626455,67,109742.83667086741,196315.04451831093,212913.41387682295,215465.18270057568,216116.55282099836,216188.9272788231,0,0.0348211638573616,0,0.123046875,52500.0,0.0,29,0.00234375,34500.0,0.0,26,0.0,13500.0,0.0,9,0.0,0.0,0.0,0
18,18,154500.0,154500.0,0.0,103,103,0,0.0,0.1431640625,0.0390625,0.06019127556831651,0.2963560672548978,0.6087330732155153,0.4441747572815504,103,116647.46345577708,208102.43143285438,224875.77373480715,229476.17195818987,230094.92615287285,230162.31630905566,0,0.250088462204274,0,0.1431640625,81000.0,0.0,31,0.0091796875,54000.0,0.0,29,0.00390625,18000.0,0.0,8,0.0,1500.0,0.0,1
19,19,105000.0,105000.0,0.0,70,70,0,0.0,0.14296874999999998,0.0369140625,0.06126059927024235,0.2663830550563913,0.6046396841066141,0.44999999999999596,70,124113.90522433018,221982.35487738572,236830.91305519812,238229.24718871093,238647.88226268912,238694.39727090893,0,0.048308652636680646,0,0.14296874999999998,55500.0,0.0,28,0.0046875,36000.0,0.0,27,0.0,13500.0,0.0,13,0.0,0.0,0.0,0
20,20,106500.0,106500.0,0.0,71,71,0,0.0,0.1462890625,0.037011718750000006,0.0630953849591982,0.25601406028493506,0.6120689655172413,0.4401408450704185,71,126856.5143473817,230014.24651126133,246443.09849924076,248389.40650620393,248717.6156918948,248754.0833791938,0,0.2501108464800943,0,0.1462890625,55500.0,0.0,30,0.0017578124999999998,37500.0,0.0,30,0.0,12000.0,0.0,8,0.0,1500.0,0.0,1
21,21,151500.0,151500.0,0.0,101,101,0,0.0,0.16601562499999997,0.044873046874999996,0.07002441729705251,0.29111031508149354,0.6067689745419939,0.4480198019801951,101,134638.38144408757,241007.9988301579,260586.13214289723,264523.5121837525,265016.31870660797,265071.07498692523,0,0.13785264177372117,0,0.16601562499999997,79500.0,0.0,30,0.0095703125,52500.0,0.0,27,0.00390625,19500.0,0.0,9,0.0,0.0,0.0,0
22,22,108000.0,108000.0,0.0,72,72,0,0.0,0.16679687499999998,0.04272460937499999,0.07165272384864667,0.26229379096392724,0.6073102155576382,0.44444444444444065,72,142797.13021855406,256761.3391270943,273122.8073734086,275968.7011971693,276568.2105359369,276634.82268468884,0,0.21188845914425727,0,0.16679687499999998,57000.0,0.0,28,0.0041015625,37500.0,0.0,29,0.0,12000.0,0.0,12,0.0,1500.0,0.0,1
23,23,105000.0,105000.0,0.0,70,70,0,0.0,0.16875,0.042626953125000006,0.07282071112310935,0.2552137552761924,0.6269191402251791,0.4285714285714246,70,145215.08156855838,266452.5809409521,284802.5158367866,287734.5649926047,288179.345505816,288228.76556283946,0,0.11835250738617709,0,0.16875,54000.0,0.0,30,0.0017578124999999998,36000.0,0.0,28,0.0,13500.0,0.0,9,0.0,1500.0,0.0,1
24,24,156000.0,156000.0,0.0,104,104,0,0.0,0.191796875,0.051562500000000004,0.08102326668848306,0.28825311482189947,0.6000887705281847,0.451923076923074,104,158945.0520678253,280347.58489413874,299369.51536421326,303195.14294135966,303850.1636994297,303921.3523430873,0,0.16388228606550767,0,0.191796875,84000.0,0.0,30,0.0095703125,52500.0,0.0,27,0.00390625,18000.0,0.0,8,0.0009765625,1500.0,0.0,0
25,25,108000.0,108000.0,0.0,72,72,0,0.0,0.18945312499999997,0.04824218749999999,0.08154080507982739,0.2592805310665906,0.5950413223140496,0.4583333333333295,72,167651.8253049722,295272.66293280025,314804.6938200402,316622.40280987404,317279.8258034976,317352.8728027891,0,0.08324490181768543,0,0.18945312499999997,58500.0,0.0,31,0.0035156249999999997,36000.0,0.0,29,0.0,13500.0,0.0,13,0.0,0.0,0.0,1
26,26,102000.0,102000.0,0.0,68,68,0,0.0,0.1921875,0.048193359375,0.08313539999244052,0.2515295951552798,0.5891946992864424,0.46323529411764297,68,175086.0373323624,309465.10756180435,326003.39161323017,328648.89293742203,329332.59167393425,329408.55820021336,0,0.08483012742955093,0,0.1921875,55500.0,0.0,31,0.0005859375,34500.0,0.0,28,0.0,12000.0,0.0,8,0.0,0.0,0.0,0
27,27,159000.0,159000.0,0.0,106,106,0,0.0,0.215234375,0.05712890625,0.09134294975313909,0.2811812881019454,0.6048664944013781,0.448113207547167,106,181961.4611970987,321997.7885665742,344146.8256922311,347986.8581120857,349007.11757745844,349121.8218216582,0,0.19194389083128138,0,0.215234375,85500.0,0.0,31,0.009375,52500.0,0.0,26,0.00390625,19500.0,0.0,9,0.0,1500.0,0.0,1
28,28,102000.0,102000.0,0.0,68,68,0,0.0,0.2099609375,0.05322265625,0.09050079252623137,0.25698021439870333,0.5891946992864424,0.46323529411764297,68,192718.06367473415,341479.9473242955,357942.7477727085,360217.0692644611,360697.28040246177,360750.63719557296,0,0.0850638099927337,0,0.2099609375,55500.0,0.0,32,0.0029296875,34500.0,0.0,28,0.0,12000.0,0.0,12,0.0,0.0,0.0,0
29,29,115500.0,115500.0,0.0,77,77,0,0.0,0.21875,0.05498046875,0.09455359328859046,0.2526830903553203,0.6158080598255089,0.43831168831168466,77,194714.0830933922,351520.9573713881,370040.8269023482,371359.6795943166,371823.8675127444,371875.44394812523,0,0.1832081665227167,0,0.21875,61500.0,0.0,30,0.001171875,37500.0,0.0,28,0.0,15000.0,0.0,10,0.0,1500.0,0.0,1
30,30,151500.0,151500.0,0.0,101,101,0,0.0,0.2388671875,0.06269531249999999,0.10176446640313334,0.2751321947835154,0.5951575262543757,0.457920792079205,101,204819.2100836286,367658.59364658664,388070.3942708487,392426.2094071077,393102.2677885233,393177.38538645837,0,0.17543047185209956,0,0.2388671875,81000.0,0.0,29,0.008984375,52500.0,0.0,27,0.0029296875,18000.0,0.0,9,0.0,0.0,0.0,0
31,31,114000.0,114000.0,0.0,76,76,0,0.0,0.2388671875,0.060742187499999996,0.10284914053714068,0.2586037107016784,0.6192109777015438,0.4342105263157858,76,215435.44726857348,384606.8119651418,404216.8402176212,405859.65116678743,405967.4477693757,405979.4251696633,0,0.17905177413809664,0,0.2388671875,61500.0,0.0,31,0.0035156249999999997,34500.0,0.0,27,0.0005859375,16500.0,0.0,13,0.0,1500.0,0.0,1
32,32,100500.0,100500.0,0.0,67,67,0,0.0,0.241796875,0.060595703125,0.10461681883624999,0.2512157702578754,0.5940974060349391,0.45895522388059273,67,222049.24761422505,401282.0165055252,416729.2846720519,419293.4323413883,419804.0067658142,419860.73725741706,0,0.10506442709729064,0,0.241796875,54000.0,0.0,29,0.0005859375,34500.0,0.0,28,0.0,12000.0,0.0,9,0.0,0.0,0.0,0
33,33,162000.0,162000.0,0.0,108,108,0,0.0,0.26445312499999996,0.0689453125,0.11291672559973573,0.2715714996373711,0.6149304091100801,0.439814814814812,108,225699.2739882331,411475.71325056546,433633.69720702426,437321.93991113856,438300.19386807655,438408.56100503914,0,0.20403582330098097,0,0.26445312499999996,85500.0,0.0,31,0.0083984375,54000.0,0.0,28,0.0029296875,21000.0,0.0,11,0.0,1500.0,0.0,1
34,34,102000.0,102000.0,0.0,68,68,0,0.0,0.2591796875,0.06538085937499999,0.11189389671269614,0.2545250002088895,0.6065057712486883,0.44852941176470185,68,234178.0423555539,429814.15292151645,445924.2025509436,448376.9717405079,448837.4743877614,448888.6413485673,0,0.10877175060897462,0,0.2591796875,54000.0,0.0,31,0.00234375,34500.0,0.0,28,0.0,13500.0,0.0,12,0.0,0.0,0.0,0
35,35,112500.0,112500.0,0.0,75,75,0,0.0,0.2669921875,0.06689453125,0.11552668335081744,0.25110104169483205,0.6258344459279038,0.4299999999999964,75,235648.61704410016,438685.21513426676,456672.4956758217,458018.13887479703,458364.61382667226,458403.1110435473,0,0.17606690115625642,0,0.2669921875,58500.0,0.0,29,0.0005859375,37500.0,0.0,28,0.0,15000.0,0.0,10,0.0,1500.0,0.0,1
36,36,153000.0,153000.0,0.0,102,102,0,0.0,0.28652343750000003,0.07446289062500001,0.1224831592895113,0.269859384086873,0.6034802784222738,0.4509803921568598,102,247941.59697449196,452821.6102542982,471953.05553342047,475465.8394319755,476314.5359650681,476409.12102647894,0,0.20731962965948206,0,0.28652343750000003,81000.0,0.0,30,0.009375,52500.0,0.0,26,0.001953125,19500.0,0.0,11,0.0,0.0,0.0,0
37,37,112500.0,112500.0,0.0,75,75,0,0.0,0.28789062499999996,0.07255859374999998,0.12432568823360979,0.25407378813380455,0.6175889328063241,0.436666666666663,75,256698.67902894804,466804.05710008484,485365.5911430735,487389.2551244444,487857.64797005546,487909.6916195678,0,0.17558977208425683,0,0.28789062499999996,60000.0,0.0,29,0.00234375,36000.0,0.0,30,0.0,15000.0,0.0,12,0.0,1500.0,0.0,1
38,38,103500.0,103500.0,0.0,69,69,0,0.0,0.289453125,0.072509765625,0.12525253535462844,0.2510156033775633,0.6094470046082949,0.44565217391303946,69,257643.1487749164,480080.49399484345,496876.2590818895,499249.26321040955,499885.2351101218,499955.89865453425,0,0.1362584413315018,0,0.289453125,54000.0,0.0,30,0.0005859375,36000.0,0.0,27,0.0,13500.0,0.0,9,0.0,0.0,0.0,0
39,39,159000.0,150000.0,9000.0,106,100,6,0.05660377358490531,0.36021205357142794,0.09264090401785699,0.15451352982738206,0.26442507826094186,0.6162790697674418,0.43867924528301616,100,252930.76828982882,250171.77259276004,508633.1994058153,509595.79362965765,510001.8860487345,510047.0074286319,0,0.24004792242933445,0,0.36021205357142794,84000.0,9000.0,30,0.0083984375,52500.0,0.0,27,0.001953125,21000.0,0.0,12,0.0,1500.0,0.0,1
40,40,105000.0,88500.0,16500.0,70,59,11,0.15714285714285564,0.44867621527777496,0.11329210069444375,0.19363836082398897,0.25501536701466787,0.6269191402251791,0.4285714285714246,59,216901.47785478394,9482.495574068977,509056.6664994566,509535.6119663741,509619.37719107565,509628.6844382647,0,0.17113393204533434,0,0.44867621527777496,54000.0,16500.0,30,0.0035156249999999997,36000.0,0.0,27,0.0,13500.0,0.0,11,0.0009765625,1500.0,0.0,0
41,41,109500.0,94500.0,15000.0,73,63,10,0.13698630136986176,0.42630550986841875,0.10711348684210469,0.18428613516459233,0.25252412813760244,0.6222559551611396,0.43493150684931137,63,227555.06479491276,9833.015497788321,510078.0811547105,511266.15388371656,511762.67891505634,511817.848362983,0,0.20525014541144215,0,0.42630550986841875,57000.0,15000.0,30,0.001171875,36000.0,0.0,28,0.0009765625,16500.0,0.0,10,0.0,0.0,0.0,1
